block,first_iter,iters,elapsed_ns,avg_ns,mismatches
0,0,100000,33622777,336.228,0
1,100000,100000,33478866,334.789,0
2,200000,100000,33485178,334.852,0
3,300000,100000,33467131,334.671,0
4,400000,100000,33635634,336.356,0
5,500000,100000,33475158,334.752,0
6,600000,100000,33559561,335.596,0
7,700000,100000,33558150,335.582,0
8,800000,100000,33481758,334.818,0
9,900000,100000,33463561,334.636,0
10,1000000,100000,33566520,335.665,0
11,1100000,100000,33574194,335.742,0
12,1200000,100000,33465469,334.655,0
13,1300000,100000,33511632,335.116,0
14,1400000,100000,33473916,334.739,0
15,1500000,100000,33471199,334.712,0
16,1600000,100000,33463662,334.637,0
17,1700000,100000,33481464,334.815,0
18,1800000,100000,33462937,334.629,0
19,1900000,100000,33610128,336.101,0
20,2000000,100000,33563616,335.636,0
21,2100000,100000,33464647,334.646,0
22,2200000,100000,33480456,334.805,0
23,2300000,100000,33503292,335.033,0
24,2400000,100000,33471559,334.716,0
25,2500000,100000,33568140,335.681,0
26,2600000,100000,33649188,336.492,0
27,2700000,100000,33473395,334.734,0
28,2800000,100000,33486066,334.861,0
29,2900000,100000,33647946,336.479,0
30,3000000,100000,33475585,334.756,0
31,3100000,100000,33578460,335.785,0
32,3200000,100000,33559686,335.597,0
33,3300000,100000,33471703,334.717,0
34,3400000,100000,33505374,335.054,0
35,3500000,100000,33629130,336.291,0
36,3600000,100000,33479647,334.796,0
37,3700000,100000,33517962,335.180,0
38,3800000,100000,33479028,334.790,0
39,3900000,100000,33572725,335.727,0
40,4000000,100000,33518058,335.181,0
41,4100000,100000,33465822,334.658,0
42,4200000,100000,33596623,335.966,0
43,4300000,100000,33514932,335.149,0
44,4400000,100000,33558774,335.588,0
45,4500000,100000,33671695,336.717,0
46,4600000,100000,33560418,335.604,0
47,4700000,100000,33472218,334.722,0
48,4800000,100000,33571393,335.714,0
49,4900000,100000,33472284,334.723,0
50,5000000,100000,33667146,336.671,0
51,5100000,100000,33471115,334.711,0
52,5200000,100000,33520638,335.206,0
53,5300000,100000,33576024,335.760,0
54,5400000,100000,33469381,334.694,0
55,5500000,100000,33472578,334.726,0
56,5600000,100000,33579102,335.791,0
57,5700000,100000,33514045,335.140,0
58,5800000,100000,33641598,336.416,0
59,5900000,100000,33665994,336.660,0
60,6000000,100000,33530281,335.303,0
61,6100000,100000,33563622,335.636,0
62,6200000,100000,33581340,335.813,0
63,6300000,100000,33566269,335.663,0
64,6400000,100000,33568872,335.689,0
65,6500000,100000,33471624,334.716,0
66,6600000,100000,33463693,334.637,0
67,6700000,100000,33481752,334.818,0
68,6800000,100000,33463890,334.639,0
69,6900000,100000,33472051,334.721,0
70,7000000,100000,33574158,335.742,0
71,7100000,100000,33559416,335.594,0
72,7200000,100000,33470011,334.700,0
73,7300000,100000,33583644,335.836,0
74,7400000,100000,33566418,335.664,0
75,7500000,100000,33551323,335.513,0
76,7600000,100000,33481266,334.813,0
77,7700000,100000,33558576,335.586,0
78,7800000,100000,33471997,334.720,0
79,7900000,100000,33481188,334.812,0
80,8000000,100000,33529608,335.296,0
81,8100000,100000,33576097,335.761,0
82,8200000,100000,33649248,336.492,0
83,8300000,100000,33575856,335.759,0
84,8400000,100000,33569107,335.691,0
85,8500000,100000,33472422,334.724,0
86,8600000,100000,33463272,334.633,0
87,8700000,100000,33497047,334.970,0
88,8800000,100000,33470664,334.707,0
89,8900000,100000,33655800,336.558,0
90,9000000,100000,33486661,334.867,0
91,9100000,100000,33535482,335.355,0
92,9200000,100000,33472158,334.722,0
93,9300000,100000,33568819,335.688,0
