block,first_iter,iters,elapsed_ns,avg_ns,mismatches
0,0,100000,33599101,335.991,0
1,100000,100000,33486456,334.865,0
2,200000,100000,33485016,334.850,0
3,300000,100000,33479881,334.799,0
4,400000,100000,33541908,335.419,0
5,500000,100000,33498024,334.980,0
6,600000,100000,33477169,334.772,0
7,700000,100000,33465144,334.651,0
8,800000,100000,33576402,335.764,0
9,900000,100000,33476101,334.761,0
10,1000000,100000,33563166,335.632,0
11,1100000,100000,33473238,334.732,0
12,1200000,100000,33471511,334.715,0
13,1300000,100000,33471216,334.712,0
14,1400000,100000,33482292,334.823,0
15,1500000,100000,33469855,334.699,0
16,1600000,100000,33605712,336.057,0
17,1700000,100000,33472182,334.722,0
18,1800000,100000,33463633,334.636,0
19,1900000,100000,33593226,335.932,0
20,2000000,100000,33463722,334.637,0
21,2100000,100000,33472363,334.724,0
22,2200000,100000,33579954,335.800,0
23,2300000,100000,33514206,335.142,0
24,2400000,100000,33564259,335.643,0
25,2500000,100000,33473622,334.736,0
26,2600000,100000,33572922,335.729,0
27,2700000,100000,33463759,334.638,0
28,2800000,100000,33577230,335.772,0
29,2900000,100000,33531222,335.312,0
30,3000000,100000,33567373,335.674,0
31,3100000,100000,33469038,334.690,0
32,3200000,100000,33531666,335.317,0
33,3300000,100000,33483403,334.834,0
34,3400000,100000,33558654,335.587,0
35,3500000,100000,33471660,334.717,0
36,3600000,100000,33574591,335.746,0
37,3700000,100000,33566970,335.670,0
38,3800000,100000,33590286,335.903,0
39,3900000,100000,33514435,335.144,0
40,4000000,100000,33618918,336.189,0
41,4100000,100000,33559866,335.599,0
42,4200000,100000,33487417,334.874,0
43,4300000,100000,33559422,335.594,0
44,4400000,100000,33564678,335.647,0
45,4500000,100000,33574231,335.742,0
46,4600000,100000,33539454,335.395,0
47,4700000,100000,33603822,336.038,0
48,4800000,100000,33554197,335.542,0
49,4900000,100000,33550254,335.503,0
50,5000000,100000,33568884,335.689,0
51,5100000,100000,33472075,334.721,0
52,5200000,100000,33470208,334.702,0
53,5300000,100000,33577374,335.774,0
54,5400000,100000,33514429,335.144,0
55,5500000,100000,33475278,334.753,0
56,5600000,100000,33480834,334.808,0
57,5700000,100000,33520219,335.202,0
58,5800000,100000,33469032,334.690,0
59,5900000,100000,33479718,334.797,0
60,6000000,100000,33472039,334.720,0
61,6100000,100000,33557760,335.578,0
62,6200000,100000,33486630,334.866,0
63,6300000,100000,33464203,334.642,0
64,6400000,100000,33576072,335.761,0
65,6500000,100000,33512940,335.129,0
66,6600000,100000,33464101,334.641,0
67,6700000,100000,33481284,334.813,0
68,6800000,100000,33564114,335.641,0
69,6900000,100000,33609205,336.092,0
70,7000000,100000,33508584,335.086,0
71,7100000,100000,33471906,334.719,0
72,7200000,100000,33649501,336.495,0
73,7300000,100000,33492348,334.923,0
74,7400000,100000,33507804,335.078,0
75,7500000,100000,33563173,335.632,0
76,7600000,100000,33673056,336.731,0
77,7700000,100000,33463254,334.633,0
78,7800000,100000,33489415,334.894,0
79,7900000,100000,33558816,335.588,0
80,8000000,100000,33697416,336.974,0
81,8100000,100000,33484387,334.844,0
82,8200000,100000,33560496,335.605,0
83,8300000,100000,33564750,335.647,0
84,8400000,100000,33664153,336.642,0
85,8500000,100000,33478788,334.788,0
86,8600000,100000,33464178,334.642,0
87,8700000,100000,33671833,336.718,0
88,8800000,100000,33541872,335.419,0
89,8900000,100000,33659826,336.598,0
90,9000000,100000,33479269,334.793,0
91,9100000,100000,33695160,336.952,0
92,9200000,100000,33482544,334.825,0
93,9300000,100000,33558391,335.584,0
94,9400000,100000,33528930,335.289,0
95,9500000,100000,33573990,335.740,0
96,9600000,100000,33471853,334.719,0
97,9700000,100000,33688524,336.885,0
98,9800000,100000,33648480,336.485,0
99,9900000,100000,33472867,334.729,0
100,10000000,100000,33561156,335.612,0
101,10100000,100000,33592200,335.922,0
102,10200000,100000,33560191,335.602,0
103,10300000,100000,33472194,334.722,0
104,10400000,100000,33478800,334.788,0
105,10500000,100000,33473251,334.733,0
106,10600000,100000,33574644,335.746,0
107,10700000,100000,33464916,334.649,0
108,10800000,100000,33476791,334.768,0
109,10900000,100000,33569790,335.698,0
110,11000000,100000,33522534,335.225,0
111,11100000,100000,33525643,335.256,0
112,11200000,100000,33578448,335.784,0
113,11300000,100000,33464028,334.640,0
114,11400000,100000,33477817,334.778,0
115,11500000,100000,33576132,335.761,0
116,11600000,100000,33464880,334.649,0
117,11700000,100000,33565393,335.654,0
118,11800000,100000,33488928,334.889,0
119,11900000,100000,33471882,334.719,0
120,12000000,100000,33500725,335.007,0
121,12100000,100000,33582768,335.828,0
122,12200000,100000,33622812,336.228,0
123,12300000,100000,33481231,334.812,0
124,12400000,100000,33571620,335.716,0
125,12500000,100000,33463854,334.639,0
126,12600000,100000,33514477,335.145,0
127,12700000,100000,33564366,335.644,0
128,12800000,100000,33569070,335.691,0
129,12900000,100000,33498763,334.988,0
130,13000000,100000,33472476,334.725,0
131,13100000,100000,33471750,334.717,0
132,13200000,100000,33481201,334.812,0
133,13300000,100000,33544188,335.442,0
134,13400000,100000,33471048,334.710,0
135,13500000,100000,33576781,335.768,0
136,13600000,100000,33524274,335.243,0
137,13700000,100000,33606336,336.063,0
138,13800000,100000,33570043,335.700,0
139,13900000,100000,33471396,334.714,0
140,14000000,100000,33607938,336.079,0
141,14100000,100000,33560569,335.606,0
142,14200000,100000,33469566,334.696,0
143,14300000,100000,33473718,334.737,0
144,14400000,100000,33573067,335.731,0
145,14500000,100000,33464250,334.642,0
146,14600000,100000,33481818,334.818,0
147,14700000,100000,33565753,335.658,0
148,14800000,100000,33557424,335.574,0
149,14900000,100000,34184712,341.847,0
150,15000000,100000,33548203,335.482,0
151,15100000,100000,33493962,334.940,0
152,15200000,100000,33465666,334.657,0
153,15300000,100000,33471745,334.717,0
154,15400000,100000,33580836,335.808,0
155,15500000,100000,33560082,335.601,0
156,15600000,100000,33463411,334.634,0
157,15700000,100000,33628050,336.281,0
158,15800000,100000,33476766,334.768,0
159,15900000,100000,33560173,335.602,0
160,16000000,100000,33678612,336.786,0
161,16100000,100000,33615342,336.153,0
162,16200000,100000,33471259,334.713,0
163,16300000,100000,33478092,334.781,0
164,16400000,100000,33473148,334.731,0
165,16500000,100000,33557647,335.576,0
166,16600000,100000,33481182,334.812,0
167,16700000,100000,33476832,334.768,0
168,16800000,100000,33474355,334.744,0
169,16900000,100000,33509112,335.091,0
170,17000000,100000,33468876,334.689,0
171,17100000,100000,33483163,334.832,0
172,17200000,100000,33559368,335.594,0
173,17300000,100000,33701508,337.015,0
174,17400000,100000,33575929,335.759,0
175,17500000,100000,33464502,334.645,0
176,17600000,100000,33564516,335.645,0
177,17700000,100000,33502927,335.029,0
178,17800000,100000,33566760,335.668,0
179,17900000,100000,33592998,335.930,0
180,18000000,100000,33486871,334.869,0
181,18100000,100000,33463806,334.638,0
182,18200000,100000,33609726,336.097,0
183,18300000,100000,33570931,335.709,0
184,18400000,100000,33534564,335.346,0
185,18500000,100000,33506568,335.066,0
186,18600000,100000,33467653,334.677,0
187,18700000,100000,33568134,335.681,0
188,18800000,100000,33706152,337.062,0
189,18900000,100000,33523135,335.231,0
190,19000000,100000,33566958,335.670,0
191,19100000,100000,33481680,334.817,0
192,19200000,100000,33469669,334.697,0
193,19300000,100000,33560412,335.604,0
194,19400000,100000,33582918,335.829,0
195,19500000,100000,33524359,335.244,0
196,19600000,100000,33583728,335.837,0
197,19700000,100000,33463788,334.638,0
198,19800000,100000,33472285,334.723,0
199,19900000,100000,33675348,336.753,0
200,20000000,100000,33560538,335.605,0
201,20100000,100000,33564745,335.647,0
202,20200000,100000,33589542,335.895,0
203,20300000,100000,33478266,334.783,0
204,20400000,100000,33464239,334.642,0
205,20500000,100000,33576204,335.762,0
206,20600000,100000,33469632,334.696,0
207,20700000,100000,33661267,336.613,0
208,20800000,100000,33576312,335.763,0
209,20900000,100000,33632862,336.329,0
210,21000000,100000,33616315,336.163,0
211,21100000,100000,33592860,335.929,0
212,21200000,100000,33471624,334.716,0
213,21300000,100000,33479161,334.792,0
214,21400000,100000,33511182,335.112,0
215,21500000,100000,33471684,334.717,0
216,21600000,100000,33694063,336.941,0
217,21700000,100000,33678060,336.781,0
218,21800000,100000,33562776,335.628,0
219,21900000,100000,33487975,334.880,0
220,22000000,100000,33464376,334.644,0
221,22100000,100000,33559698,335.597,0
222,22200000,100000,33477571,334.776,0
223,22300000,100000,33629628,336.296,0
224,22400000,100000,33497184,334.972,0
225,22500000,100000,33481591,334.816,0
226,22600000,100000,33633630,336.336,0
227,22700000,100000,33569586,335.696,0
228,22800000,100000,33565729,335.657,0
229,22900000,100000,33468822,334.688,0
230,23000000,100000,33576786,335.768,0
231,23100000,100000,33558217,335.582,0
232,23200000,100000,33666420,336.664,0
233,23300000,100000,33480702,334.807,0
234,23400000,100000,33465031,334.650,0
235,23500000,100000,33511782,335.118,0
236,23600000,100000,33574704,335.747,0
237,23700000,100000,33542089,335.421,0
238,23800000,100000,33556632,335.566,0
239,23900000,100000,33486708,334.867,0
240,24000000,100000,33463711,334.637,0
241,24100000,100000,33576468,335.765,0
242,24200000,100000,33570666,335.707,0
243,24300000,100000,33522025,335.220,0
244,24400000,100000,33489984,334.900,0
245,24500000,100000,33539004,335.390,0
246,24600000,100000,33572803,335.728,0
247,24700000,100000,33569658,335.697,0
248,24800000,100000,33479544,334.795,0
249,24900000,100000,33470191,334.702,0
250,25000000,100000,33576264,335.763,0
251,25100000,100000,33469842,334.698,0
