block,first_iter,iters,elapsed_ns,avg_ns,mismatches
0,0,100000,33552474,335.525,0
1,100000,100000,33502590,335.026,0
2,200000,100000,43608727,436.087,0
3,300000,100000,63511345,635.113,0
4,400000,100000,33526920,335.269,0
5,500000,100000,33480036,334.800,0
6,600000,100000,33481393,334.814,0
7,700000,100000,93529014,935.290,0
8,800000,100000,53503207,535.032,0
9,900000,100000,43498158,434.982,0
10,1000000,100000,33587257,335.873,0
11,1100000,100000,33528294,335.283,0
12,1200000,100000,63502513,635.025,0
13,1300000,100000,73534572,735.346,0
14,1400000,100000,53580949,535.809,0
15,1500000,100000,33476472,334.765,0
16,1600000,100000,33513673,335.137,0
17,1700000,100000,43496874,434.969,0
18,1800000,100000,93532159,935.322,0
19,1900000,100000,53496079,534.961,0
20,2000000,100000,33669060,336.691,0
21,2100000,100000,33496068,334.961,0
22,2200000,100000,33551305,335.513,0
23,2300000,100000,73535304,735.353,0
24,2400000,100000,33590347,335.903,0
25,2500000,100000,33552042,335.520,0
26,2600000,100000,33475356,334.754,0
27,2700000,100000,73534273,735.343,0
28,2800000,100000,63509719,635.097,0
29,2900000,100000,53527968,535.280,0
30,3000000,100000,33558006,335.580,0
31,3100000,100000,33550651,335.507,0
32,3200000,100000,63518790,635.188,0
33,3300000,100000,73594231,735.942,0
34,3400000,100000,73593793,735.938,0
35,3500000,100000,63539911,635.399,0
36,3600000,100000,33487272,334.873,0
37,3700000,100000,33559242,335.592,0
38,3800000,100000,33621163,336.212,0
39,3900000,100000,73505628,735.056,0
40,4000000,100000,63501295,635.013,0
41,4100000,100000,53519292,535.193,0
42,4200000,100000,33459043,334.590,0
43,4300000,100000,33478446,334.784,0
44,4400000,100000,63505093,635.051,0
45,4500000,100000,73511886,735.119,0
46,4600000,100000,53537935,535.379,0
47,4700000,100000,33563280,335.633,0
48,4800000,100000,33551809,335.518,0
49,4900000,100000,43603530,436.035,0
50,5000000,100000,83501461,835.015,0
51,5100000,100000,53504844,535.048,0
52,5200000,100000,83539741,835.397,0
53,5300000,100000,63502885,635.029,0
54,5400000,100000,33516372,335.164,0
55,5500000,100000,33482101,334.821,0
56,5600000,100000,33477582,334.776,0
57,5700000,100000,43496916,434.969,0
58,5800000,100000,83539537,835.395,0
59,5900000,100000,33478783,334.788,0
60,6000000,100000,33515220,335.152,0
61,6100000,100000,33473196,334.732,0
62,6200000,100000,33480799,334.808,0
63,6300000,100000,83542752,835.428,0
64,6400000,100000,63538159,635.382,0
65,6500000,100000,63500875,635.009,0
66,6600000,100000,43526322,435.263,0
67,6700000,100000,33504876,335.049,0
68,6800000,100000,33468601,334.686,0
69,6900000,100000,63526560,635.266,0
70,7000000,100000,43544875,435.449,0
