block,first_iter,iters,elapsed_ns,avg_ns,mismatches
0,0,100000,34160287,341.603,0
1,100000,100000,34059450,340.594,0
2,200000,100000,34106376,341.064,0
3,300000,100000,33955483,339.555,0
4,400000,100000,34406310,344.063,0
5,500000,100000,33834948,338.349,0
6,600000,100000,34425127,344.251,0
7,700000,100000,34421298,344.213,0
8,800000,100000,34001466,340.015,0
9,900000,100000,34254403,342.544,0
10,1000000,100000,34202064,342.021,0
11,1100000,100000,34066656,340.667,0
12,1200000,100000,34165507,341.655,0
13,1300000,100000,34212858,342.129,0
14,1400000,100000,33969264,339.693,0
15,1500000,100000,34188397,341.884,0
16,1600000,100000,34197630,341.976,0
17,1700000,100000,33968749,339.687,0
18,1800000,100000,34220184,342.202,0
19,1900000,100000,34172496,341.725,0
20,2000000,100000,34146727,341.467,0
21,2100000,100000,34041528,340.415,0
22,2200000,100000,34194564,341.946,0
23,2300000,100000,34091767,340.918,0
24,2400000,100000,34048284,340.483,0
25,2500000,100000,34208508,342.085,0
26,2600000,100000,34081159,340.812,0
27,2700000,100000,33982722,339.827,0
28,2800000,100000,35788452,357.885,0
29,2900000,100000,34558627,345.586,0
30,3000000,100000,34812552,348.126,0
31,3100000,100000,34090578,340.906,0
32,3200000,100000,33979957,339.800,0
33,3300000,100000,34120782,341.208,0
34,3400000,100000,34027980,340.280,0
35,3500000,100000,33935095,339.351,0
36,3600000,100000,33941070,339.411,0
37,3700000,100000,34253412,342.534,0
38,3800000,100000,34406671,344.067,0
39,3900000,100000,34035936,340.359,0
40,4000000,100000,33970842,339.708,0
41,4100000,100000,34300921,343.009,0
42,4200000,100000,34106754,341.068,0
43,4300000,100000,33951186,339.512,0
44,4400000,100000,34187749,341.877,0
45,4500000,100000,34222386,342.224,0
46,4600000,100000,33960078,339.601,0
47,4700000,100000,34059211,340.592,0
48,4800000,100000,34274712,342.747,0
49,4900000,100000,34008006,340.080,0
50,5000000,100000,34125481,341.255,0
51,5100000,100000,34270974,342.710,0
52,5200000,100000,34002486,340.025,0
53,5300000,100000,34100779,341.008,0
54,5400000,100000,34257918,342.579,0
55,5500000,100000,34184142,341.841,0
56,5600000,100000,33973447,339.734,0
57,5700000,100000,34267320,342.673,0
58,5800000,100000,34133622,341.336,0
59,5900000,100000,34031923,340.319,0
60,6000000,100000,34284432,342.844,0
61,6100000,100000,33832008,338.320,0
62,6200000,100000,36798871,367.989,0
63,6300000,100000,34706010,347.060,0
64,6400000,100000,34085263,340.853,0
65,6500000,100000,34151604,341.516,0
66,6600000,100000,33986094,339.861,0
67,6700000,100000,33983443,339.834,0
68,6800000,100000,34059654,340.597,0
69,6900000,100000,33991638,339.916,0
70,7000000,100000,33980677,339.807,0
71,7100000,100000,34346040,343.460,0
72,7200000,100000,34338990,343.390,0
73,7300000,100000,34055863,340.559,0
74,7400000,100000,33967716,339.677,0
75,7500000,100000,34186464,341.865,0
76,7600000,100000,34204555,342.046,0
77,7700000,100000,34008552,340.086,0
78,7800000,100000,34191222,341.912,0
79,7900000,100000,34235671,342.357,0
80,8000000,100000,33958638,339.586,0
81,8100000,100000,34198032,341.980,0
82,8200000,100000,34190383,341.904,0
83,8300000,100000,34049772,340.498,0
84,8400000,100000,34200948,342.009,0
85,8500000,100000,34265863,342.659,0
86,8600000,100000,34001250,340.012,0
87,8700000,100000,34068822,340.688,0
88,8800000,100000,34264249,342.642,0
89,8900000,100000,33996474,339.965,0
90,9000000,100000,34074366,340.744,0
91,9100000,100000,34405993,344.060,0
92,9200000,100000,33968772,339.688,0
93,9300000,100000,33969024,339.690,0
94,9400000,100000,34057987,340.580,0
95,9500000,100000,36719394,367.194,0
96,9600000,100000,34620558,346.206,0
97,9700000,100000,34066207,340.662,0
98,9800000,100000,34112112,341.121,0
99,9900000,100000,33957906,339.579,0
100,10000000,100000,33990745,339.907,0
101,10100000,100000,34025442,340.254,0
102,10200000,100000,33955776,339.558,0
103,10300000,100000,33949081,339.491,0
104,10400000,100000,34435926,344.359,0
105,10500000,100000,34158648,341.586,0
106,10600000,100000,34383679,343.837,0
107,10700000,100000,34092126,340.921,0
108,10800000,100000,33963396,339.634,0
109,10900000,100000,34141273,341.413,0
110,11000000,100000,34207170,342.072,0
111,11100000,100000,33987774,339.878,0
112,11200000,100000,34072285,340.723,0
113,11300000,100000,34204470,342.045,0
114,11400000,100000,34080390,340.804,0
115,11500000,100000,33956467,339.565,0
116,11600000,100000,34194654,341.947,0
117,11700000,100000,34202167,342.022,0
118,11800000,100000,33955068,339.551,0
119,11900000,100000,34374156,343.742,0
120,12000000,100000,34161565,341.616,0
121,12100000,100000,33956658,339.567,0
122,12200000,100000,34107072,341.071,0
123,12300000,100000,34269283,342.693,0
124,12400000,100000,33994140,339.941,0
125,12500000,100000,34174710,341.747,0
126,12600000,100000,34323895,343.239,0
127,12700000,100000,34013412,340.134,0
128,12800000,100000,35696034,356.960,0
129,12900000,100000,34692991,346.930,0
130,13000000,100000,34803606,348.036,0
131,13100000,100000,34184220,341.842,0
132,13200000,100000,34089529,340.895,0
133,13300000,100000,34085934,340.859,0
134,13400000,100000,34027314,340.273,0
135,13500000,100000,33934897,339.349,0
