block,first_iter,iters,elapsed_ns,avg_ns,mismatches
0,0,10000,3393924,339.392,0
1,10000,10000,3376344,337.634,0
2,20000,10000,3344088,334.409,0
3,30000,10000,3367242,336.724,0
4,40000,10000,3344178,334.418,0
5,50000,10000,3344124,334.412,0
6,60000,10000,3373614,337.361,0
7,70000,10000,3344316,334.432,0
8,80000,10000,3344148,334.415,0
9,90000,10000,3364104,336.410,0
10,100000,10000,3344274,334.427,0
11,110000,10000,3376158,337.616,0
12,120000,10000,3366708,336.671,0
13,130000,10000,3376248,337.625,0
14,140000,10000,3344082,334.408,0
15,150000,10000,3371262,337.126,0
16,160000,10000,3344160,334.416,0
17,170000,10000,3343986,334.399,0
18,180000,10000,3365268,336.527,0
19,190000,10000,3344136,334.414,0
20,200000,10000,3344082,334.408,0
21,210000,10000,3366247,336.625,0
22,220000,10000,3344214,334.421,0
23,230000,10000,3376170,337.617,0
24,240000,10000,3363726,336.373,0
25,250000,10000,3344100,334.410,0
26,260000,10000,3343974,334.397,0
27,270000,10000,3358716,335.872,0
28,280000,10000,3376344,337.634,0
29,290000,10000,3343980,334.398,0
30,300000,10000,3366978,336.698,0
31,310000,10000,3344202,334.420,0
32,320000,10000,3343950,334.395,0
33,330000,10000,3368472,336.847,0
34,340000,10000,3344028,334.403,0
35,350000,10000,3344010,334.401,0
36,360000,10000,3359838,335.984,0
37,370000,10000,3344046,334.405,0
38,380000,10000,3344046,334.405,0
39,390000,10000,3360462,336.046,0
40,400000,10000,3344238,334.424,0
41,410000,10000,3344064,334.406,0
42,420000,10000,3381798,338.180,0
43,430000,10000,3376314,337.631,0
44,440000,10000,3376164,337.616,0
45,450000,10000,3357942,335.794,0
46,460000,10000,3344244,334.424,0
47,470000,10000,3376176,337.618,0
48,480000,10000,3382974,338.297,0
49,490000,10000,3344196,334.420,0
50,500000,10000,3376086,337.609,0
51,510000,10000,3364873,336.487,0
52,520000,10000,3344382,334.438,0
53,530000,10000,3344100,334.410,0
54,540000,10000,3365460,336.546,0
55,550000,10000,3344238,334.424,0
56,560000,10000,3344118,334.412,0
57,570000,10000,3391572,339.157,0
58,580000,10000,3344220,334.422,0
59,590000,10000,3344106,334.411,0
60,600000,10000,3363390,336.339,0
61,610000,10000,3344214,334.421,0
62,620000,10000,3344010,334.401,0
63,630000,10000,3514554,351.455,0
64,640000,10000,3344406,334.441,0
65,650000,10000,3366804,336.680,0
66,660000,10000,3344220,334.422,0
67,670000,10000,3344112,334.411,0
68,680000,10000,3368856,336.886,0
69,690000,10000,3344172,334.417,0
70,700000,10000,3344058,334.406,0
71,710000,10000,3388782,338.878,0
72,720000,10000,3344232,334.423,0
73,730000,10000,3344112,334.411,0
74,740000,10000,3386202,338.620,0
75,750000,10000,3344244,334.424,0
76,760000,10000,3376272,337.627,0
77,770000,10000,3362412,336.241,0
78,780000,10000,3344058,334.406,0
79,790000,10000,3344070,334.407,0
80,800000,10000,3357504,335.750,0
81,810000,10000,3344077,334.408,0
82,820000,10000,3344004,334.400,0
83,830000,10000,3364050,336.405,0
84,840000,10000,3376302,337.630,0
85,850000,10000,3344088,334.409,0
86,860000,10000,3378600,337.860,0
87,870000,10000,3344244,334.424,0
88,880000,10000,3344124,334.412,0
89,890000,10000,3359946,335.995,0
90,900000,10000,3344538,334.454,0
91,910000,10000,3344184,334.418,0
92,920000,10000,3363906,336.391,0
93,930000,10000,3344076,334.408,0
94,940000,10000,3344160,334.416,0
95,950000,10000,3370158,337.016,0
96,960000,10000,3376272,337.627,0
97,970000,10000,3376188,337.619,0
98,980000,10000,3358062,335.806,0
99,990000,10000,3344208,334.421,0
