block,first_iter,iters,elapsed_ns,avg_ns,mismatches
0,0,10000,3344682,334.468,0
1,10000,10000,3397020,339.702,0
2,20000,10000,3344166,334.417,0
3,30000,10000,3344082,334.408,0
4,40000,10000,3366888,336.689,0
5,50000,10000,3344136,334.414,0
6,60000,10000,3344041,334.404,0
7,70000,10000,3379578,337.958,0
8,80000,10000,3344268,334.427,0
9,90000,10000,3344064,334.406,0
10,100000,10000,3363840,336.384,0
11,110000,10000,3344166,334.417,0
12,120000,10000,3344088,334.409,0
13,130000,10000,3374514,337.451,0
14,140000,10000,3344172,334.417,0
15,150000,10000,3360768,336.077,0
16,160000,10000,3344112,334.411,0
17,170000,10000,3344094,334.409,0
18,180000,10000,3358512,335.851,0
19,190000,10000,3344070,334.407,0
20,200000,10000,3344022,334.402,0
21,210000,10000,3359712,335.971,0
22,220000,10000,3376218,337.622,0
23,230000,10000,3344082,334.408,0
24,240000,10000,3369702,336.970,0
25,250000,10000,3344238,334.424,0
26,260000,10000,3344022,334.402,0
27,270000,10000,3360054,336.005,0
28,280000,10000,3344178,334.418,0
29,290000,10000,3344064,334.406,0
30,300000,10000,3367386,336.739,0
31,310000,10000,3344244,334.424,0
32,320000,10000,3344088,334.409,0
33,330000,10000,3384306,338.431,0
34,340000,10000,3344136,334.414,0
35,350000,10000,3344082,334.408,0
36,360000,10000,3358015,335.801,0
37,370000,10000,3376374,337.637,0
38,380000,10000,3376086,337.609,0
39,390000,10000,3382836,338.284,0
40,400000,10000,3376356,337.636,0
41,410000,10000,3344028,334.403,0
42,420000,10000,3376992,337.699,0
43,430000,10000,3344082,334.408,0
44,440000,10000,3344022,334.402,0
45,450000,10000,3365538,336.554,0
46,460000,10000,3344304,334.430,0
47,470000,10000,3376074,337.607,0
48,480000,10000,3371358,337.136,0
49,490000,10000,3344058,334.406,0
50,500000,10000,3376050,337.605,0
51,510000,10000,3357846,335.785,0
52,520000,10000,3344142,334.414,0
53,530000,10000,3344064,334.406,0
54,540000,10000,3357630,335.763,0
55,550000,10000,3376212,337.621,0
56,560000,10000,3344172,334.417,0
57,570000,10000,3357312,335.731,0
58,580000,10000,3376224,337.622,0
59,590000,10000,3344118,334.412,0
60,600000,10000,3388608,338.861,0
61,610000,10000,3344280,334.428,0
62,620000,10000,3344052,334.405,0
63,630000,10000,3359874,335.987,0
64,640000,10000,3344154,334.415,0
65,650000,10000,3344058,334.406,0
66,660000,10000,3357847,335.785,0
67,670000,10000,3344166,334.417,0
68,680000,10000,3344076,334.408,0
69,690000,10000,3377922,337.792,0
70,700000,10000,3344118,334.412,0
71,710000,10000,3344022,334.402,0
72,720000,10000,3368748,336.875,0
73,730000,10000,3344088,334.409,0
74,740000,10000,3344088,334.409,0
75,750000,10000,3379290,337.929,0
76,760000,10000,3344004,334.400,0
77,770000,10000,3376122,337.612,0
78,780000,10000,3368850,336.885,0
79,790000,10000,3344130,334.413,0
80,800000,10000,3344094,334.409,0
81,810000,10000,3383406,338.341,0
82,820000,10000,3376374,337.637,0
83,830000,10000,3344070,334.407,0
84,840000,10000,3357978,335.798,0
85,850000,10000,3344124,334.412,0
86,860000,10000,3376086,337.609,0
87,870000,10000,3357744,335.774,0
88,880000,10000,3344052,334.405,0
89,890000,10000,3344088,334.409,0
90,900000,10000,3362706,336.271,0
91,910000,10000,3344166,334.417,0
92,920000,10000,3376110,337.611,0
93,930000,10000,3390834,339.083,0
94,940000,10000,3344100,334.410,0
95,950000,10000,3344100,334.410,0
96,960000,10000,3365965,336.596,0
97,970000,10000,3376182,337.618,0
98,980000,10000,3376260,337.626,0
99,990000,10000,3390558,339.056,0
