iter,elapsed_ns,mismatch
0,2370,0
1,1518,0
2,1428,0
3,1380,0
4,1404,0
5,1374,0
6,1458,0
7,1410,0
8,1440,0
9,1416,0
10,1398,0
11,1374,0
12,1428,0
13,1380,0
14,1374,0
15,1410,0
16,1362,0
17,1374,0
18,1386,0
19,1452,0
20,1392,0
21,1434,0
22,1416,0
23,1386,0
24,1374,0
25,1374,0
26,1398,0
27,1368,0
28,1434,0
29,1368,0
30,1392,0
31,1416,0
32,1458,0
33,1386,0
34,1410,0
35,1404,0
36,1440,0
37,1392,0
38,1404,0
39,1446,0
40,1368,0
41,1422,0
42,1422,0
43,1428,0
44,1404,0
45,1404,0
46,1392,0
47,1452,0
48,1398,0
49,1422,0
50,1374,0
51,1380,0
52,1404,0
53,1440,0
54,1392,0
55,1392,0
56,1404,0
57,1410,0
58,1392,0
59,1410,0
60,1410,0
61,1380,0
62,1398,0
63,1410,0
64,1374,0
65,1380,0
66,1392,0
67,1392,0
68,1404,0
69,1446,0
70,1416,0
71,1452,0
72,1452,0
73,1446,0
74,1404,0
75,1416,0
76,1398,0
77,1404,0
78,1392,0
79,1374,0
80,1398,0
81,1410,0
82,1380,0
83,1392,0
84,1416,0
85,1386,0
86,1404,0
87,1410,0
88,1410,0
89,1416,0
90,1386,0
91,1392,0
92,1404,0
93,1368,0
94,1404,0
95,1440,0
96,1410,0
97,1464,0
98,1380,0
99,1410,0
100,1392,0
101,2298,0
102,1608,0
103,1416,0
104,1398,0
105,1416,0
106,1416,0
107,1422,0
108,1368,0
109,1392,0
110,1416,0
111,1392,0
112,1440,0
113,1416,0
114,1434,0
115,1410,0
116,1416,0
117,1416,0
118,1422,0
119,1422,0
120,1368,0
121,1404,0
122,1368,0
123,1380,0
124,1368,0
125,1380,0
126,1398,0
127,1386,0
128,1386,0
129,1368,0
130,1404,0
131,1392,0
132,1434,0
133,1368,0
134,1398,0
135,1368,0
136,1404,0
137,1410,0
138,1374,0
139,1428,0
140,1392,0
141,1440,0
142,1392,0
143,1404,0
144,1434,0
145,1428,0
146,1410,0
147,1410,0
148,1434,0
149,1422,0
150,1404,0
151,1446,0
152,1404,0
153,1368,0
154,1392,0
155,1392,0
156,1410,0
157,1392,0
158,1386,0
159,1422,0
160,1410,0
161,1380,0
162,1392,0
163,1410,0
164,1416,0
165,1392,0
166,1368,0
167,1404,0
168,1440,0
169,1452,0
170,1422,0
171,1404,0
172,1416,0
173,1422,0
174,1428,0
175,1410,0
176,1452,0
177,1398,0
178,1416,0
179,1398,0
180,1416,0
181,1458,0
182,1410,0
183,1404,0
184,1434,0
185,1398,0
186,1368,0
187,1392,0
188,1428,0
189,1428,0
190,1422,0
191,1368,0
192,1368,0
193,1422,0
194,1998,0
195,1464,0
196,1446,0
197,1410,0
198,1374,0
199,1404,0
200,1398,0
201,1380,0
202,1434,0
203,1392,0
204,1392,0
205,1422,0
206,1422,0
207,1368,0
208,1404,0
209,1428,0
210,1410,0
211,1440,0
212,1404,0
213,1374,0
214,1392,0
215,1392,0
216,1410,0
217,1416,0
218,1446,0
219,1416,0
220,1416,0
221,1446,0
222,1374,0
223,1392,0
224,1368,0
225,1404,0
226,1428,0
227,1380,0
228,1386,0
229,1404,0
230,1410,0
231,1428,0
232,1392,0
233,1404,0
234,1374,0
235,1410,0
236,1404,0
237,1434,0
238,1398,0
239,1398,0
240,1380,0
241,1404,0
242,1380,0
243,1410,0
244,1404,0
245,1404,0
246,1374,0
247,1422,0
248,1410,0
249,1428,0
250,1374,0
251,1416,0
252,1404,0
253,1398,0
254,1458,0
255,1392,0
256,1440,0
257,1398,0
258,1446,0
259,1398,0
260,1386,0
261,1392,0
262,1440,0
263,1398,0
264,1392,0
265,1392,0
266,1440,0
267,1440,0
268,1404,0
269,1368,0
270,1410,0
271,1422,0
272,1422,0
273,1452,0
274,1410,0
275,1398,0
276,1374,0
277,1410,0
278,1368,0
279,1404,0
280,1404,0
281,1422,0
282,1410,0
283,1398,0
284,1368,0
285,1380,0
286,1416,0
287,1386,0
288,1914,0
289,1404,0
290,1398,0
291,1428,0
292,1398,0
293,1404,0
294,1410,0
295,1368,0
296,1416,0
297,1392,0
298,1374,0
299,1380,0
300,1422,0
301,1368,0
302,1440,0
303,1446,0
304,1410,0
305,1404,0
306,1398,0
307,1428,0
308,1392,0
309,1404,0
310,1410,0
311,1386,0
312,1398,0
313,1452,0
314,1464,0
315,1368,0
316,1398,0
317,1416,0
318,1410,0
319,1392,0
320,1434,0
321,1428,0
322,1452,0
323,1404,0
324,1392,0
325,1404,0
326,1398,0
327,1452,0
328,1416,0
329,1404,0
330,1404,0
331,1410,0
332,1434,0
333,1404,0
334,1452,0
335,1446,0
336,1392,0
337,1440,0
338,1416,0
339,1368,0
340,1374,0
341,1440,0
