run,run_dir,avg_ns,elapsed_s,mismatches,trace_blocks,trace_mean_ns,trace_min_ns,trace_max_ns,trace_std_ns,trace_mismatches
1,run_01,335.267,60.347997,0,1800,335.267,334.626,349.534,0.689,0
2,run_02,335.258,60.346380,0,1800,335.258,334.625,341.369,0.617,0
3,run_03,335.274,60.349351,0,1800,335.274,334.616,340.024,0.609,0
4,run_04,335.255,60.345898,0,1800,335.255,334.617,340.269,0.596,0
5,run_05,335.277,60.349943,0,1800,335.277,334.627,341.293,0.608,0
6,run_06,335.285,60.351339,0,1800,335.285,334.626,340.396,0.613,0
7,run_07,335.252,60.345396,0,1800,335.252,334.623,341.144,0.599,0
8,run_08,335.281,60.350508,0,1800,335.281,334.624,341.511,0.613,0
9,run_09,335.245,60.344163,0,1800,335.245,334.623,340.512,0.589,0
10,run_10,335.284,60.351094,0,1800,335.284,334.623,340.389,0.617,0
11,run_11,335.260,60.346849,0,1800,335.260,334.619,339.928,0.602,0
12,run_12,335.274,60.349336,0,1800,335.274,334.625,340.137,0.605,0
13,run_13,335.275,60.349484,0,1800,335.275,334.619,341.429,0.610,0
14,run_14,335.236,60.342535,0,1800,335.236,334.626,340.154,0.599,0
15,run_15,335.241,60.343411,0,1800,335.241,334.625,340.616,0.609,0
16,run_16,335.284,60.351192,0,1800,335.284,334.605,340.617,0.619,0
17,run_17,335.255,60.345937,0,1800,335.255,334.623,340.502,0.602,0
18,run_18,335.264,60.347523,0,1800,335.264,334.626,340.740,0.627,0
19,run_19,335.280,60.350457,0,1800,335.280,334.627,340.261,0.616,0
20,run_20,335.245,60.344077,0,1800,335.245,334.618,341.018,0.604,0
21,run_21,335.258,60.346507,0,1800,335.258,334.625,340.566,0.621,0
22,run_22,335.264,60.347457,0,1800,335.264,334.624,340.439,0.614,0
23,run_23,335.245,60.344173,0,1800,335.245,334.614,340.625,0.609,0
24,run_24,335.276,60.349647,0,1800,335.276,334.623,341.297,0.619,0
25,run_25,335.285,60.351317,0,1800,335.285,334.626,340.283,0.626,0
26,run_26,335.275,60.349570,0,1800,335.275,334.627,340.200,0.609,0
27,run_27,335.267,60.348037,0,1800,335.267,334.616,340.610,0.613,0
28,run_28,335.287,60.351579,0,1800,335.287,334.623,340.276,0.617,0
29,run_29,335.270,60.348546,0,1800,335.270,334.622,340.943,0.614,0
30,run_30,335.281,60.350517,0,1800,335.281,334.625,341.349,0.621,0
31,run_31,335.256,60.346113,0,1800,335.256,334.605,340.378,0.602,0
32,run_32,335.260,60.346754,0,1800,335.260,334.616,339.989,0.597,0
33,run_33,335.273,60.349176,0,1800,335.273,334.621,340.724,0.625,0
34,run_34,335.263,60.347418,0,1800,335.263,334.623,340.722,0.609,0
35,run_35,335.274,60.349284,0,1800,335.274,334.625,342.092,0.640,0
36,run_36,335.255,60.345940,0,1800,335.255,334.626,341.027,0.611,0
37,run_37,335.274,60.349238,0,1800,335.274,334.609,340.948,0.625,0
38,run_38,335.255,60.345853,0,1800,335.255,334.618,340.525,0.599,0
39,run_39,335.262,60.347246,0,1800,335.262,334.617,340.560,0.603,0
40,run_40,335.272,60.349008,0,1800,335.272,334.626,340.682,0.619,0
41,run_41,335.252,60.345346,0,1800,335.252,334.626,341.294,0.607,0
42,run_42,335.261,60.347057,0,1800,335.261,334.626,340.360,0.617,0
43,run_43,335.242,60.343471,0,1800,335.242,334.623,340.422,0.613,0
44,run_44,335.265,60.347746,0,1800,335.265,334.624,340.250,0.608,0
45,run_45,335.247,60.344446,0,1800,335.247,334.626,340.644,0.602,0
46,run_46,335.261,60.346896,0,1800,335.261,334.627,341.151,0.621,0
47,run_47,335.249,60.344870,0,1800,335.249,334.626,339.307,0.593,0
48,run_48,335.267,60.348086,0,1800,335.267,334.626,340.413,0.619,0
49,run_49,335.261,60.347053,0,1800,335.261,334.626,341.276,0.625,0
50,run_50,335.255,60.345886,0,1800,335.255,334.623,341.525,0.615,0
51,run_51,335.246,60.344205,0,1800,335.246,334.625,340.601,0.603,0
52,run_52,335.272,60.348874,0,1800,335.272,334.618,340.079,0.616,0
53,run_53,335.264,60.347497,0,1800,335.264,334.624,340.539,0.623,0
54,run_54,335.262,60.347162,0,1800,335.262,334.624,340.411,0.612,0
55,run_55,335.257,60.346233,0,1800,335.257,334.622,341.178,0.613,0
56,run_56,335.272,60.348985,0,1800,335.272,334.610,340.352,0.610,0
57,run_57,335.281,60.350520,0,1800,335.281,334.621,341.150,0.617,0
58,run_58,335.261,60.346908,0,1800,335.261,334.619,340.210,0.609,0
59,run_59,335.257,60.346260,0,1800,335.257,334.627,340.437,0.591,0
60,run_60,335.256,60.346102,0,1800,335.256,334.625,341.166,0.610,0
