run,run_dir,n_blocks,mean_avg_ns,min_avg_ns,max_avg_ns,std_avg_ns,mismatches,elapsed_s
1,run_01,1800,335.267,334.626,349.534,0.689,0,60.347997
2,run_02,1800,335.258,334.625,341.369,0.617,0,60.346380
3,run_03,1800,335.274,334.616,340.024,0.609,0,60.349351
4,run_04,1800,335.255,334.617,340.269,0.596,0,60.345898
5,run_05,1800,335.277,334.627,341.293,0.608,0,60.349943
6,run_06,1800,335.285,334.626,340.396,0.613,0,60.351339
7,run_07,1800,335.252,334.623,341.144,0.599,0,60.345396
8,run_08,1800,335.281,334.624,341.511,0.613,0,60.350508
9,run_09,1800,335.245,334.623,340.512,0.589,0,60.344163
10,run_10,1800,335.284,334.623,340.389,0.617,0,60.351094
11,run_11,1800,335.260,334.619,339.928,0.602,0,60.346849
12,run_12,1800,335.274,334.625,340.137,0.605,0,60.349336
13,run_13,1800,335.275,334.619,341.429,0.610,0,60.349484
14,run_14,1800,335.236,334.626,340.154,0.599,0,60.342535
15,run_15,1800,335.241,334.625,340.616,0.609,0,60.343411
16,run_16,1800,335.284,334.605,340.617,0.619,0,60.351192
17,run_17,1800,335.255,334.623,340.502,0.602,0,60.345937
18,run_18,1800,335.264,334.626,340.740,0.627,0,60.347523
19,run_19,1800,335.280,334.627,340.261,0.616,0,60.350457
20,run_20,1800,335.245,334.618,341.018,0.604,0,60.344077
21,run_21,1800,335.258,334.625,340.566,0.621,0,60.346507
22,run_22,1800,335.264,334.624,340.439,0.614,0,60.347457
23,run_23,1800,335.245,334.614,340.625,0.609,0,60.344173
24,run_24,1800,335.276,334.623,341.297,0.619,0,60.349647
25,run_25,1800,335.285,334.626,340.283,0.626,0,60.351317
26,run_26,1800,335.275,334.627,340.200,0.609,0,60.349570
27,run_27,1800,335.267,334.616,340.610,0.613,0,60.348037
28,run_28,1800,335.287,334.623,340.276,0.617,0,60.351579
29,run_29,1800,335.270,334.622,340.943,0.614,0,60.348546
30,run_30,1800,335.281,334.625,341.349,0.621,0,60.350517
31,run_31,1800,335.256,334.605,340.378,0.602,0,60.346113
32,run_32,1800,335.260,334.616,339.989,0.597,0,60.346754
33,run_33,1800,335.273,334.621,340.724,0.625,0,60.349176
34,run_34,1800,335.263,334.623,340.722,0.609,0,60.347418
35,run_35,1800,335.274,334.625,342.092,0.640,0,60.349284
36,run_36,1800,335.255,334.626,341.027,0.611,0,60.345940
37,run_37,1800,335.274,334.609,340.948,0.625,0,60.349238
38,run_38,1800,335.255,334.618,340.525,0.599,0,60.345853
39,run_39,1800,335.262,334.617,340.560,0.603,0,60.347246
40,run_40,1800,335.272,334.626,340.682,0.619,0,60.349008
41,run_41,1800,335.252,334.626,341.294,0.607,0,60.345346
42,run_42,1800,335.261,334.626,340.360,0.617,0,60.347057
43,run_43,1800,335.242,334.623,340.422,0.613,0,60.343471
44,run_44,1800,335.265,334.624,340.250,0.608,0,60.347746
45,run_45,1800,335.247,334.626,340.644,0.602,0,60.344446
46,run_46,1800,335.261,334.627,341.151,0.621,0,60.346896
47,run_47,1800,335.249,334.626,339.307,0.593,0,60.344870
48,run_48,1800,335.267,334.626,340.413,0.619,0,60.348086
49,run_49,1800,335.261,334.626,341.276,0.625,0,60.347053
50,run_50,1800,335.255,334.623,341.525,0.615,0,60.345886
51,run_51,1800,335.246,334.625,340.601,0.603,0,60.344205
52,run_52,1800,335.272,334.618,340.079,0.616,0,60.348874
53,run_53,1800,335.264,334.624,340.539,0.623,0,60.347497
54,run_54,1800,335.262,334.624,340.411,0.612,0,60.347162
55,run_55,1800,335.257,334.622,341.178,0.613,0,60.346233
56,run_56,1800,335.272,334.610,340.352,0.610,0,60.348985
57,run_57,1800,335.281,334.621,341.150,0.617,0,60.350520
58,run_58,1800,335.261,334.619,340.210,0.609,0,60.346908
59,run_59,1800,335.257,334.627,340.437,0.591,0,60.346260
60,run_60,1800,335.256,334.625,341.166,0.610,0,60.346102
