run,run_dir,avg_ns,elapsed_s,mismatches,trace_blocks,trace_mean_ns,trace_min_ns,trace_max_ns,trace_std_ns,trace_mismatches
1,run_001,335.273,60.349086,0,1800,335.273,334.627,341.663,0.622,0
2,run_002,335.304,60.354683,0,1800,335.304,334.624,342.398,0.628,0
3,run_003,335.289,60.352099,0,1800,335.289,334.626,340.765,0.606,0
4,run_004,335.289,60.351932,0,1800,335.289,334.625,339.735,0.620,0
5,run_005,335.262,60.347153,0,1800,335.262,334.627,341.347,0.620,0
6,run_006,335.270,60.348594,0,1800,335.270,334.627,341.489,0.621,0
7,run_007,335.267,60.348143,0,1800,335.267,334.628,340.744,0.607,0
8,run_008,335.266,60.347793,0,1800,335.266,334.623,340.696,0.615,0
9,run_009,335.280,60.350334,0,1800,335.280,334.626,340.414,0.614,0
10,run_010,335.269,60.348486,0,1800,335.269,334.613,340.598,0.604,0
11,run_011,335.267,60.348132,0,1800,335.267,334.613,341.470,0.613,0
12,run_012,335.277,60.349940,0,1800,335.277,334.623,340.450,0.608,0
13,run_013,335.290,60.352189,0,1800,335.290,334.626,340.278,0.616,0
14,run_014,335.297,60.353378,0,1800,335.297,334.627,341.599,0.632,0
15,run_015,335.265,60.347769,0,1800,335.265,334.623,341.059,0.612,0
16,run_016,335.251,60.345212,0,1800,335.251,334.623,341.232,0.618,0
17,run_017,335.292,60.352617,0,1800,335.292,334.618,340.586,0.623,0
18,run_018,335.281,60.350567,0,1800,335.281,334.624,340.674,0.621,0
19,run_019,335.310,60.355845,0,1800,335.310,334.627,341.037,0.634,0
20,run_020,335.284,60.351077,0,1800,335.284,334.624,340.335,0.614,0
21,run_021,335.273,60.349101,0,1800,335.273,334.627,340.646,0.618,0
22,run_022,335.277,60.349828,0,1800,335.277,334.625,340.593,0.612,0
23,run_023,335.280,60.350426,0,1800,335.280,334.626,340.494,0.604,0
24,run_024,335.285,60.351284,0,1800,335.285,334.625,341.474,0.630,0
25,run_025,335.281,60.350658,0,1800,335.281,334.626,342.174,0.628,0
26,run_026,335.280,60.350464,0,1800,335.280,334.628,340.684,0.612,0
27,run_027,335.291,60.352341,0,1800,335.291,334.626,340.407,0.618,0
28,run_028,335.280,60.350484,0,1800,335.280,334.625,341.539,0.632,0
29,run_029,335.264,60.347444,0,1800,335.264,334.621,341.242,0.617,0
30,run_030,335.277,60.349835,0,1800,335.277,334.609,341.198,0.611,0
31,run_031,335.273,60.349103,0,1800,335.273,334.624,340.688,0.617,0
32,run_032,335.286,60.351548,0,1800,335.286,334.624,341.355,0.633,0
33,run_033,335.276,60.349658,0,1800,335.276,334.623,339.429,0.604,0
34,run_034,335.284,60.351037,0,1800,335.284,334.624,341.649,0.624,0
35,run_035,335.279,60.350304,0,1800,335.279,334.627,341.308,0.628,0
36,run_036,335.295,60.353189,0,1800,335.295,334.627,340.456,0.618,0
37,run_037,335.272,60.348901,0,1800,335.272,334.627,340.714,0.612,0
38,run_038,335.293,60.352692,0,1800,335.293,334.627,341.410,0.606,0
39,run_039,335.258,60.346469,0,1800,335.258,334.625,341.183,0.601,0
40,run_040,335.288,60.351910,0,1800,335.288,334.629,342.236,0.635,0
41,run_041,335.292,60.352627,0,1800,335.292,334.627,342.057,0.627,0
42,run_042,335.282,60.350675,0,1800,335.282,334.618,340.822,0.618,0
43,run_043,335.308,60.355412,0,1800,335.308,334.626,340.403,0.643,0
44,run_044,335.295,60.353184,0,1800,335.295,334.626,341.456,0.636,0
45,run_045,335.263,60.347281,0,1800,335.263,334.625,340.787,0.612,0
46,run_046,335.276,60.349668,0,1800,335.276,334.628,340.560,0.617,0
47,run_047,335.303,60.354569,0,1800,335.303,334.625,340.263,0.632,0
48,run_048,335.286,60.351454,0,1800,335.286,334.627,341.204,0.613,0
49,run_049,335.280,60.350405,0,1800,335.280,334.626,340.683,0.634,0
50,run_050,335.301,60.354126,0,1800,335.301,334.619,340.741,0.636,0
51,run_051,335.277,60.349948,0,1800,335.277,334.624,340.368,0.603,0
52,run_052,335.276,60.349764,0,1800,335.276,334.629,341.120,0.616,0
53,run_053,335.289,60.351967,0,1800,335.289,334.625,340.842,0.625,0
54,run_054,335.284,60.351051,0,1800,335.284,334.621,340.461,0.607,0
55,run_055,335.266,60.347912,0,1800,335.266,334.625,340.429,0.620,0
56,run_056,335.297,60.353430,0,1800,335.297,334.629,340.455,0.624,0
57,run_057,335.289,60.351985,0,1800,335.289,334.627,340.489,0.606,0
58,run_058,335.282,60.350690,0,1800,335.282,334.627,340.110,0.608,0
59,run_059,335.274,60.349339,0,1800,335.274,334.623,340.993,0.629,0
60,run_060,335.275,60.349434,0,1800,335.275,334.626,340.576,0.607,0
61,run_061,335.281,60.350543,0,1800,335.281,334.626,340.719,0.620,0
62,run_062,335.273,60.349157,0,1800,335.273,334.628,339.298,0.609,0
63,run_063,335.278,60.350067,0,1800,335.278,334.625,342.205,0.614,0
64,run_064,335.249,60.344816,0,1800,335.249,334.624,341.339,0.613,0
65,run_065,335.304,60.354677,0,1800,335.304,334.624,340.738,0.629,0
66,run_066,335.268,60.348324,0,1800,335.268,334.627,341.259,0.616,0
67,run_067,335.282,60.350714,0,1800,335.282,334.608,340.712,0.619,0
68,run_068,335.298,60.353565,0,1800,335.298,334.625,341.027,0.634,0
69,run_069,335.281,60.350517,0,1800,335.281,334.625,340.814,0.624,0
70,run_070,335.275,60.349493,0,1800,335.275,334.627,340.596,0.620,0
71,run_071,335.265,60.347781,0,1800,335.265,334.628,341.269,0.606,0
72,run_072,335.294,60.352928,0,1800,335.294,334.628,340.594,0.618,0
73,run_073,335.302,60.354445,0,1800,335.302,334.621,341.412,0.644,0
74,run_074,335.267,60.348135,0,1800,335.267,334.625,340.665,0.624,0
75,run_075,335.261,60.347001,0,1800,335.261,334.612,340.714,0.603,0
76,run_076,335.273,60.349184,0,1800,335.273,334.627,340.783,0.617,0
77,run_077,335.295,60.353014,0,1800,335.295,334.626,340.581,0.620,0
78,run_078,335.292,60.352552,0,1800,335.292,334.624,340.734,0.628,0
79,run_079,335.299,60.353803,0,1800,335.299,334.626,340.675,0.626,0
80,run_080,335.282,60.350690,0,1800,335.282,334.625,341.694,0.613,0
81,run_081,335.282,60.350674,0,1800,335.282,334.625,340.421,0.617,0
82,run_082,335.267,60.348017,0,1800,335.267,334.626,340.580,0.613,0
83,run_083,335.268,60.348228,0,1800,335.268,334.625,340.566,0.611,0
84,run_084,335.288,60.351836,0,1800,335.288,334.627,341.741,0.632,0
85,run_085,335.303,60.354541,0,1800,335.303,334.629,341.023,0.620,0
86,run_086,335.277,60.349912,0,1800,335.277,334.626,340.789,0.603,0
87,run_087,335.287,60.351695,0,1800,335.287,334.625,341.095,0.616,0
88,run_088,335.269,60.348369,0,1800,335.269,334.622,340.651,0.602,0
89,run_089,335.274,60.349343,0,1800,335.274,334.626,340.871,0.617,0
90,run_090,335.292,60.352650,0,1800,335.293,334.626,341.762,0.629,0
91,run_091,335.290,60.352260,0,1800,335.290,334.624,341.365,0.623,0
92,run_092,335.279,60.350264,0,1800,335.279,334.627,340.760,0.612,0
93,run_093,335.263,60.347415,0,1800,335.263,334.619,341.625,0.632,0
94,run_094,335.282,60.350780,0,1800,335.282,334.626,340.552,0.610,0
95,run_095,335.281,60.350595,0,1800,335.281,334.613,339.866,0.609,0
96,run_096,335.294,60.352898,0,1800,335.294,334.626,341.512,0.632,0
97,run_097,335.278,60.350061,0,1800,335.278,334.622,341.822,0.618,0
98,run_098,335.283,60.350978,0,1800,335.283,334.626,340.249,0.615,0
99,run_099,335.264,60.347532,0,1800,335.264,334.627,340.384,0.595,0
100,run_100,335.272,60.349017,0,1800,335.272,334.621,340.657,0.620,0
101,run_101,335.235,60.342252,0,1800,335.235,334.625,340.152,0.604,0
102,run_102,335.259,60.346667,0,1800,335.259,334.620,340.761,0.607,0
103,run_103,335.270,60.348598,0,1800,335.270,334.620,340.692,0.616,0
104,run_104,335.270,60.348584,0,1800,335.270,334.621,340.313,0.617,0
105,run_105,335.260,60.346845,0,1800,335.260,334.627,341.575,0.609,0
106,run_106,335.277,60.349870,0,1800,335.277,334.627,340.559,0.608,0
107,run_107,335.289,60.351977,0,1800,335.289,334.625,341.412,0.623,0
108,run_108,335.286,60.351409,0,1800,335.286,334.624,340.310,0.616,0
109,run_109,335.288,60.351929,0,1800,335.288,334.627,340.561,0.623,0
110,run_110,335.288,60.351774,0,1800,335.288,334.625,341.426,0.620,0
111,run_111,335.288,60.351850,0,1800,335.288,334.625,341.380,0.611,0
112,run_112,335.261,60.347064,0,1800,335.261,334.627,341.411,0.621,0
113,run_113,335.267,60.348107,0,1800,335.267,334.629,340.633,0.599,0
114,run_114,335.270,60.348518,0,1800,335.270,334.627,340.731,0.614,0
115,run_115,335.274,60.349276,0,1800,335.274,334.624,341.423,0.621,0
116,run_116,335.321,60.357855,0,1800,335.321,334.629,342.297,0.628,0
117,run_117,335.288,60.351757,0,1800,335.288,334.627,341.087,0.625,0
118,run_118,335.264,60.347594,0,1800,335.264,334.626,340.688,0.600,0
119,run_119,335.297,60.353501,0,1800,335.297,334.625,341.504,0.627,0
120,run_120,335.261,60.347007,0,1800,335.261,334.625,341.357,0.609,0
121,run_121,335.296,60.353217,0,1800,335.296,334.627,341.063,0.621,0
122,run_122,335.275,60.349585,0,1800,335.275,334.627,340.533,0.632,0
123,run_123,335.305,60.354907,0,1800,335.305,334.622,341.431,0.626,0
124,run_124,335.270,60.348641,0,1800,335.270,334.621,340.287,0.605,0
125,run_125,335.277,60.349774,0,1800,335.277,334.623,340.935,0.626,0
126,run_126,335.288,60.351836,0,1800,335.288,334.629,340.783,0.623,0
127,run_127,335.278,60.350116,0,1800,335.278,334.621,340.237,0.623,0
128,run_128,335.287,60.351630,0,1800,335.287,334.628,341.505,0.622,0
129,run_129,335.287,60.351741,0,1800,335.287,334.627,341.340,0.624,0
130,run_130,335.265,60.347691,0,1800,335.265,334.625,340.425,0.602,0
131,run_131,335.265,60.347645,0,1800,335.265,334.608,340.500,0.619,0
132,run_132,335.281,60.350561,0,1800,335.281,334.629,340.642,0.603,0
133,run_133,335.288,60.351773,0,1800,335.288,334.628,340.477,0.617,0
134,run_134,335.307,60.355270,0,1800,335.307,334.626,340.478,0.612,0
135,run_135,335.285,60.351280,0,1800,335.285,334.623,341.339,0.622,0
136,run_136,335.288,60.351836,0,1800,335.288,334.628,340.780,0.620,0
137,run_137,335.272,60.349027,0,1800,335.272,334.627,341.576,0.602,0
138,run_138,335.284,60.351181,0,1800,335.284,334.628,340.651,0.622,0
139,run_139,335.301,60.354234,0,1800,335.301,334.623,341.406,0.627,0
140,run_140,335.287,60.351586,0,1800,335.287,334.630,341.333,0.633,0
141,run_141,335.278,60.350007,0,1800,335.278,334.625,340.765,0.619,0
142,run_142,335.279,60.350146,0,1800,335.279,334.627,340.857,0.613,0
143,run_143,335.284,60.351065,0,1800,335.284,334.625,340.562,0.617,0
144,run_144,335.312,60.356101,0,1800,335.312,334.625,341.476,0.627,0
145,run_145,335.297,60.353468,0,1800,335.297,334.625,341.764,0.636,0
146,run_146,335.292,60.352566,0,1800,335.292,334.611,341.176,0.641,0
147,run_147,335.252,60.345292,0,1800,335.252,334.627,341.378,0.608,0
148,run_148,335.280,60.350362,0,1800,335.280,334.626,341.020,0.618,0
149,run_149,335.314,60.356609,0,1800,335.314,334.627,340.516,0.616,0
150,run_150,335.286,60.351464,0,1800,335.286,334.625,340.994,0.625,0
151,run_151,335.284,60.351044,0,1800,335.284,334.628,340.955,0.616,0
152,run_152,335.274,60.349336,0,1800,335.274,334.628,341.765,0.625,0
153,run_153,335.281,60.350571,0,1800,335.281,334.624,341.694,0.624,0
154,run_154,335.282,60.350799,0,1800,335.282,334.626,340.557,0.625,0
155,run_155,335.288,60.351751,0,1800,335.288,334.630,341.407,0.629,0
156,run_156,335.291,60.352326,0,1800,335.291,334.628,340.806,0.616,0
157,run_157,335.280,60.350324,0,1800,335.280,334.626,340.658,0.626,0
158,run_158,335.262,60.347140,0,1800,335.262,334.628,340.644,0.613,0
159,run_159,335.287,60.351677,0,1800,335.287,334.626,340.608,0.612,0
160,run_160,335.282,60.350723,0,1800,335.282,334.625,340.504,0.611,0
161,run_161,335.260,60.346868,0,1800,335.260,334.628,340.837,0.623,0
162,run_162,335.288,60.351754,0,1800,335.288,334.624,341.855,0.632,0
163,run_163,335.283,60.350935,0,1800,335.283,334.627,339.995,0.624,0
164,run_164,335.277,60.349781,0,1800,335.277,334.618,340.519,0.624,0
165,run_165,335.316,60.356817,0,1800,335.316,334.627,340.610,0.626,0
166,run_166,335.289,60.351986,0,1800,335.289,334.623,341.650,0.636,0
167,run_167,335.279,60.350246,0,1800,335.279,334.625,339.917,0.616,0
168,run_168,335.307,60.355236,0,1800,335.307,334.627,340.730,0.622,0
169,run_169,335.274,60.349378,0,1800,335.274,334.625,341.212,0.617,0
170,run_170,335.256,60.346119,0,1800,335.256,334.622,340.723,0.611,0
171,run_171,335.279,60.350229,0,1800,335.279,334.626,341.130,0.614,0
172,run_172,335.308,60.355405,0,1800,335.308,334.626,340.977,0.623,0
173,run_173,335.290,60.352225,0,1800,335.290,334.625,341.263,0.619,0
174,run_174,335.272,60.348966,0,1800,335.272,334.625,340.237,0.602,0
175,run_175,335.264,60.347527,0,1800,335.264,334.627,340.839,0.610,0
176,run_176,335.274,60.349340,0,1800,335.274,334.625,341.090,0.601,0
177,run_177,335.296,60.353245,0,1800,335.296,334.624,341.665,0.619,0
178,run_178,335.288,60.351922,0,1800,335.288,334.626,340.621,0.622,0
179,run_179,335.279,60.350168,0,1800,335.279,334.626,341.844,0.607,0
180,run_180,335.288,60.351816,0,1800,335.288,334.626,341.562,0.616,0
181,run_181,335.293,60.352777,0,1800,335.293,334.629,340.617,0.628,0
182,run_182,335.298,60.353650,0,1800,335.298,334.620,341.847,0.628,0
183,run_183,335.300,60.353926,0,1800,335.300,334.627,340.886,0.624,0
184,run_184,335.286,60.351414,0,1800,335.286,334.613,340.827,0.626,0
185,run_185,335.276,60.349646,0,1800,335.276,334.627,339.324,0.607,0
186,run_186,335.279,60.350227,0,1800,335.279,334.628,340.712,0.620,0
187,run_187,335.297,60.353386,0,1800,335.297,334.627,341.131,0.638,0
188,run_188,335.302,60.354411,0,1800,335.302,334.623,340.452,0.630,0
189,run_189,335.271,60.348741,0,1800,335.271,334.627,340.710,0.627,0
190,run_190,335.290,60.352246,0,1800,335.290,334.625,340.955,0.620,0
