run,run_dir,n_blocks,mean_avg_ns,min_avg_ns,max_avg_ns,std_avg_ns,mismatches,elapsed_s
1,run_001,1800,335.273,334.627,341.663,0.622,0,60.349086
2,run_002,1800,335.304,334.624,342.398,0.628,0,60.354683
3,run_003,1800,335.289,334.626,340.765,0.606,0,60.352099
4,run_004,1800,335.289,334.625,339.735,0.620,0,60.351932
5,run_005,1800,335.262,334.627,341.347,0.620,0,60.347153
6,run_006,1800,335.270,334.627,341.489,0.621,0,60.348594
7,run_007,1800,335.267,334.628,340.744,0.607,0,60.348143
8,run_008,1800,335.266,334.623,340.696,0.615,0,60.347793
9,run_009,1800,335.280,334.626,340.414,0.614,0,60.350334
10,run_010,1800,335.269,334.613,340.598,0.604,0,60.348486
11,run_011,1800,335.267,334.613,341.470,0.613,0,60.348132
12,run_012,1800,335.277,334.623,340.450,0.608,0,60.349940
13,run_013,1800,335.290,334.626,340.278,0.616,0,60.352189
14,run_014,1800,335.297,334.627,341.599,0.632,0,60.353378
15,run_015,1800,335.265,334.623,341.059,0.612,0,60.347769
16,run_016,1800,335.251,334.623,341.232,0.618,0,60.345212
17,run_017,1800,335.292,334.618,340.586,0.623,0,60.352617
18,run_018,1800,335.281,334.624,340.674,0.621,0,60.350567
19,run_019,1800,335.310,334.627,341.037,0.634,0,60.355845
20,run_020,1800,335.284,334.624,340.335,0.614,0,60.351077
21,run_021,1800,335.273,334.627,340.646,0.618,0,60.349101
22,run_022,1800,335.277,334.625,340.593,0.612,0,60.349828
23,run_023,1800,335.280,334.626,340.494,0.604,0,60.350426
24,run_024,1800,335.285,334.625,341.474,0.630,0,60.351284
25,run_025,1800,335.281,334.626,342.174,0.628,0,60.350658
26,run_026,1800,335.280,334.628,340.684,0.612,0,60.350464
27,run_027,1800,335.291,334.626,340.407,0.618,0,60.352341
28,run_028,1800,335.280,334.625,341.539,0.632,0,60.350484
29,run_029,1800,335.264,334.621,341.242,0.617,0,60.347444
30,run_030,1800,335.277,334.609,341.198,0.611,0,60.349835
31,run_031,1800,335.273,334.624,340.688,0.617,0,60.349103
32,run_032,1800,335.286,334.624,341.355,0.633,0,60.351548
33,run_033,1800,335.276,334.623,339.429,0.604,0,60.349658
34,run_034,1800,335.284,334.624,341.649,0.624,0,60.351037
35,run_035,1800,335.279,334.627,341.308,0.628,0,60.350304
36,run_036,1800,335.295,334.627,340.456,0.618,0,60.353189
37,run_037,1800,335.272,334.627,340.714,0.612,0,60.348901
38,run_038,1800,335.293,334.627,341.410,0.606,0,60.352692
39,run_039,1800,335.258,334.625,341.183,0.601,0,60.346469
40,run_040,1800,335.288,334.629,342.236,0.635,0,60.351910
41,run_041,1800,335.292,334.627,342.057,0.627,0,60.352627
42,run_042,1800,335.282,334.618,340.822,0.618,0,60.350675
43,run_043,1800,335.308,334.626,340.403,0.643,0,60.355412
44,run_044,1800,335.295,334.626,341.456,0.636,0,60.353184
45,run_045,1800,335.263,334.625,340.787,0.612,0,60.347281
46,run_046,1800,335.276,334.628,340.560,0.617,0,60.349668
47,run_047,1800,335.303,334.625,340.263,0.632,0,60.354569
48,run_048,1800,335.286,334.627,341.204,0.613,0,60.351454
49,run_049,1800,335.280,334.626,340.683,0.634,0,60.350405
50,run_050,1800,335.301,334.619,340.741,0.636,0,60.354126
51,run_051,1800,335.277,334.624,340.368,0.603,0,60.349948
52,run_052,1800,335.276,334.629,341.120,0.616,0,60.349764
53,run_053,1800,335.289,334.625,340.842,0.625,0,60.351967
54,run_054,1800,335.284,334.621,340.461,0.607,0,60.351051
55,run_055,1800,335.266,334.625,340.429,0.620,0,60.347912
56,run_056,1800,335.297,334.629,340.455,0.624,0,60.353430
