run,run_dir,avg_ns,elapsed_s,mismatches,trace_blocks,trace_mean_ns,trace_min_ns,trace_max_ns,trace_std_ns,trace_mismatches
1,run_01,496.007,89.281313,0,1800,496.007,334.563,935.263,168.128,0
2,run_02,512.051,92.169260,0,1800,512.051,334.559,836.209,170.770,0
3,run_03,503.433,90.618028,0,1800,503.433,334.563,935.662,178.379,0
4,run_04,509.773,91.759096,0,1800,509.773,334.562,935.626,180.346,0
5,run_05,498.348,89.702611,0,1800,498.348,334.559,935.400,172.899,0
6,run_06,494.188,88.953802,0,1800,494.188,334.563,935.358,171.189,0
7,run_07,501.893,90.340771,0,1800,501.893,334.571,935.544,176.687,0
8,run_08,511.752,92.115388,0,1800,511.752,334.565,935.459,171.833,0
9,run_09,507.058,91.270398,0,1800,507.058,334.563,935.769,172.163,0
10,run_10,500.187,90.033572,0,1800,500.187,334.563,935.324,171.303,0
11,run_11,527.521,94.953788,0,1800,527.521,334.563,936.134,172.300,0
12,run_12,512.898,92.321584,0,1800,512.898,334.566,936.113,182.304,0
13,run_13,514.387,92.589747,0,1800,514.387,334.567,936.180,182.753,0
14,run_14,527.845,95.012054,0,1800,527.845,334.561,935.332,172.152,0
15,run_15,523.603,94.248505,0,1800,523.603,334.561,836.520,167.827,0
16,run_16,514.239,92.563041,0,1800,514.239,334.559,935.312,171.835,0
17,run_17,508.730,91.571477,0,1800,508.730,334.568,936.071,174.047,0
18,run_18,511.782,92.120728,0,1800,511.782,334.569,935.597,182.966,0
19,run_19,514.853,92.673620,0,1800,514.853,334.566,936.032,182.630,0
20,run_20,511.332,92.039687,0,1800,511.332,334.552,935.318,173.243,0
21,run_21,539.850,97.173031,0,1800,539.850,334.565,836.318,167.003,0
22,run_22,488.767,87.978079,0,1800,488.767,334.564,835.648,167.146,0
23,run_23,488.632,87.953827,0,1800,488.632,334.572,858.958,165.410,0
24,run_24,516.221,92.919803,0,1800,516.221,334.562,835.806,169.537,0
25,run_25,512.884,92.319121,0,1800,512.884,334.563,935.525,177.150,0
26,run_26,515.777,92.839787,0,1800,515.777,334.566,935.619,182.963,0
27,run_27,528.008,95.041479,0,1800,528.008,334.567,935.742,183.851,0
28,run_28,493.264,88.787536,0,1800,493.264,334.567,935.335,171.684,0
29,run_29,485.352,87.363322,0,1800,485.352,334.556,935.277,169.949,0
30,run_30,512.939,92.329094,0,1800,512.939,334.559,935.394,179.632,0
31,run_31,511.173,92.011202,0,1800,511.173,334.563,935.627,174.860,0
32,run_32,511.585,92.085352,0,1800,511.585,334.564,935.470,173.826,0
33,run_33,519.270,93.468581,0,1800,519.270,334.569,935.617,177.955,0
34,run_34,526.607,94.789221,0,1800,526.607,334.569,935.579,175.796,0
35,run_35,510.500,91.890063,0,1800,510.500,334.560,935.359,172.371,0
36,run_36,506.228,91.121039,0,1800,506.228,334.557,935.625,180.826,0
37,run_37,526.924,94.846258,0,1800,526.924,334.571,935.687,182.144,0
38,run_38,525.084,94.515132,0,1800,525.084,334.568,938.947,183.589,0
39,run_39,504.459,90.802701,0,1800,504.459,334.562,936.153,174.495,0
40,run_40,516.490,92.968188,0,1800,516.490,334.568,935.675,176.341,0
41,run_41,510.655,91.917837,0,1800,510.655,334.561,935.512,178.996,0
42,run_42,520.769,93.738333,0,1800,520.769,334.561,936.385,182.141,0
43,run_43,521.256,93.826039,0,1800,521.256,334.569,935.485,178.389,0
44,run_44,501.644,90.295937,0,1800,501.644,334.560,935.341,171.102,0
45,run_45,504.661,90.839064,0,1800,504.661,334.569,935.352,176.952,0
46,run_46,524.491,94.408305,0,1800,524.491,334.568,935.491,182.745,0
47,run_47,516.441,92.959462,0,1800,516.441,334.569,935.654,180.163,0
48,run_48,495.173,89.131128,0,1800,495.173,334.561,935.407,172.331,0
49,run_49,514.692,92.644551,0,1800,514.692,334.565,935.673,177.744,0
50,run_50,507.529,91.355166,0,1800,507.529,334.567,935.277,172.267,0
51,run_51,493.694,88.864976,0,1800,493.694,334.564,935.319,171.417,0
52,run_52,504.076,90.733706,0,1800,504.076,334.565,935.633,176.767,0
53,run_53,520.193,93.634827,0,1800,520.193,334.571,935.619,183.248,0
54,run_54,512.470,92.244623,0,1800,512.470,334.573,936.111,182.707,0
55,run_55,519.502,93.510300,0,1800,519.502,334.567,935.652,183.325,0
56,run_56,518.680,93.362457,0,1800,518.680,334.565,935.393,171.029,0
57,run_57,497.895,89.621139,0,1800,497.895,334.567,935.381,172.478,0
58,run_58,505.232,90.941698,0,1800,505.232,334.556,935.339,173.828,0
59,run_59,528.554,95.139635,0,1800,528.554,334.566,935.552,174.347,0
60,run_60,523.678,94.262041,0,1800,523.678,334.563,935.617,183.009,0
