time_s,block,first_iter,iters,elapsed_ns,avg_ns,mismatches
0.033540997,0,0,100000,33540997,335.410,0
0.067047895,1,100000,100000,33506898,335.069,0
0.100613323,2,200000,100000,33565428,335.654,0
0.174136904,3,300000,100000,73523581,735.236,0
0.207621050,4,400000,100000,33484146,334.841,0
0.241173063,5,500000,100000,33552013,335.520,0
0.274648335,6,600000,100000,33475272,334.753,0
0.328150600,7,700000,100000,53502265,535.023,0
0.391778272,8,800000,100000,63627672,636.277,0
0.465302603,9,900000,100000,73524331,735.243,0
0.528820860,10,1000000,100000,63518257,635.183,0
0.602334456,11,1100000,100000,73513596,735.136,0
0.665861683,12,1200000,100000,63527227,635.272,0
0.739358660,13,1300000,100000,73496977,734.970,0
0.802875320,14,1400000,100000,63516660,635.167,0
0.846393057,15,1500000,100000,43517737,435.177,0
0.879961635,16,1600000,100000,33568578,335.686,0
0.913531971,17,1700000,100000,33570336,335.703,0
0.947247928,18,1800000,100000,33715957,337.160,0
0.980882416,19,1900000,100000,33634488,336.345,0
1.034505077,20,2000000,100000,53622661,536.227,0
1.098015893,21,2100000,100000,63510816,635.108,0
1.171521600,22,2200000,100000,73505707,735.057,0
1.245057751,23,2300000,100000,73536151,735.362,0
1.298553931,24,2400000,100000,53496180,534.962,0
1.372069040,25,2500000,100000,73515109,735.151,0
1.445643735,26,2600000,100000,73574695,735.747,0
1.479137349,27,2700000,100000,33493614,334.936,0
1.512838713,28,2800000,100000,33701364,337.014,0
1.546424782,29,2900000,100000,33586069,335.861,0
1.579901206,30,3000000,100000,33476424,334.764,0
1.633525379,31,3100000,100000,53624173,536.242,0
1.697035991,32,3200000,100000,63510612,635.106,0
1.730511780,33,3300000,100000,33475789,334.758,0
1.763997102,34,3400000,100000,33485322,334.853,0
1.797461040,35,3500000,100000,33463938,334.639,0
1.830944377,36,3600000,100000,33483337,334.833,0
1.864447987,37,3700000,100000,33503610,335.036,0
1.927965236,38,3800000,100000,63517249,635.172,0
1.991474960,39,3900000,100000,63509724,635.097,0
2.024972552,40,4000000,100000,33497592,334.976,0
2.058445077,41,4100000,100000,33472525,334.725,0
2.091965109,42,4200000,100000,33520032,335.200,0
2.125649001,43,4300000,100000,33683892,336.839,0
2.189158312,44,4400000,100000,63509311,635.093,0
2.242683845,45,4500000,100000,53525533,535.255,0
