run,run_dir,n_blocks,mean_avg_ns,min_avg_ns,max_avg_ns,std_avg_ns,mismatches,elapsed_s
1,run_01,1800,496.007,334.563,935.263,168.128,0,89.281313
2,run_02,1800,512.051,334.559,836.209,170.770,0,92.169260
3,run_03,1800,503.433,334.563,935.662,178.379,0,90.618028
4,run_04,1800,509.773,334.562,935.626,180.346,0,91.759096
5,run_05,1800,498.348,334.559,935.400,172.899,0,89.702611
6,run_06,1800,494.188,334.563,935.358,171.189,0,88.953802
7,run_07,1800,501.893,334.571,935.544,176.687,0,90.340771
8,run_08,1800,511.752,334.565,935.459,171.833,0,92.115388
9,run_09,1800,507.058,334.563,935.769,172.163,0,91.270398
10,run_10,1800,500.187,334.563,935.324,171.303,0,90.033572
11,run_11,1800,527.521,334.563,936.134,172.300,0,94.953788
12,run_12,1800,512.898,334.566,936.113,182.304,0,92.321584
13,run_13,1800,514.387,334.567,936.180,182.753,0,92.589747
14,run_14,1800,527.845,334.561,935.332,172.152,0,95.012054
15,run_15,1800,523.603,334.561,836.520,167.827,0,94.248505
16,run_16,1800,514.239,334.559,935.312,171.835,0,92.563041
17,run_17,1800,508.730,334.568,936.071,174.047,0,91.571477
18,run_18,1800,511.782,334.569,935.597,182.966,0,92.120728
19,run_19,1800,514.853,334.566,936.032,182.630,0,92.673620
20,run_20,1800,511.332,334.552,935.318,173.243,0,92.039687
21,run_21,1800,539.850,334.565,836.318,167.003,0,97.173031
22,run_22,1800,488.767,334.564,835.648,167.146,0,87.978079
23,run_23,1800,488.632,334.572,858.958,165.410,0,87.953827
24,run_24,1800,516.221,334.562,835.806,169.537,0,92.919803
25,run_25,1800,512.884,334.563,935.525,177.150,0,92.319121
26,run_26,1800,515.777,334.566,935.619,182.963,0,92.839787
27,run_27,1800,528.008,334.567,935.742,183.851,0,95.041479
28,run_28,1800,493.264,334.567,935.335,171.684,0,88.787536
29,run_29,1800,485.352,334.556,935.277,169.949,0,87.363322
30,run_30,1800,512.939,334.559,935.394,179.632,0,92.329094
31,run_31,1800,511.173,334.563,935.627,174.860,0,92.011202
32,run_32,1800,511.585,334.564,935.470,173.826,0,92.085352
33,run_33,1800,519.270,334.569,935.617,177.955,0,93.468581
34,run_34,1800,526.607,334.569,935.579,175.796,0,94.789221
35,run_35,1800,510.500,334.560,935.359,172.371,0,91.890063
36,run_36,1800,506.228,334.557,935.625,180.826,0,91.121039
37,run_37,1800,526.924,334.571,935.687,182.144,0,94.846258
38,run_38,1800,525.084,334.568,938.947,183.589,0,94.515132
39,run_39,1800,504.459,334.562,936.153,174.495,0,90.802701
40,run_40,1800,516.490,334.568,935.675,176.341,0,92.968188
41,run_41,1800,510.655,334.561,935.512,178.996,0,91.917837
42,run_42,1800,520.769,334.561,936.385,182.141,0,93.738333
43,run_43,1800,521.256,334.569,935.485,178.389,0,93.826039
44,run_44,1800,501.644,334.560,935.341,171.102,0,90.295937
45,run_45,1800,504.661,334.569,935.352,176.952,0,90.839064
46,run_46,1800,524.491,334.568,935.491,182.745,0,94.408305
47,run_47,1800,516.441,334.569,935.654,180.163,0,92.959462
48,run_48,1800,495.173,334.561,935.407,172.331,0,89.131128
49,run_49,1800,514.692,334.565,935.673,177.744,0,92.644551
50,run_50,1800,507.529,334.567,935.277,172.267,0,91.355166
51,run_51,1800,493.694,334.564,935.319,171.417,0,88.864976
52,run_52,1800,504.076,334.565,935.633,176.767,0,90.733706
53,run_53,1800,520.193,334.571,935.619,183.248,0,93.634827
54,run_54,1800,512.470,334.573,936.111,182.707,0,92.244623
55,run_55,1800,519.502,334.567,935.652,183.325,0,93.510300
56,run_56,1800,518.680,334.565,935.393,171.029,0,93.362457
57,run_57,1800,497.895,334.567,935.381,172.478,0,89.621139
58,run_58,1800,505.232,334.556,935.339,173.828,0,90.941698
59,run_59,1800,528.554,334.566,935.552,174.347,0,95.139635
60,run_60,1800,523.678,334.563,935.617,183.009,0,94.262041
