run,run_dir,avg_ns,elapsed_s,mismatches,trace_blocks,trace_mean_ns,trace_min_ns,trace_max_ns,trace_std_ns,trace_mismatches
1,run_01,341.244,61.423948,0,1800,341.244,334.675,388.088,2.440,0
2,run_02,341.169,61.410427,0,1800,341.169,334.673,393.724,2.579,0
3,run_03,340.782,61.340774,0,1800,340.782,334.665,345.568,1.459,0
4,run_04,340.753,61.335591,0,1800,340.753,334.668,345.364,1.506,0
5,run_05,341.260,61.426857,0,1800,341.260,334.712,390.381,3.448,0
6,run_06,340.788,61.341861,0,1800,340.788,334.685,361.891,1.777,0
7,run_07,341.323,61.438072,0,1800,341.323,334.690,367.750,3.054,0
8,run_08,340.905,61.362871,0,1800,340.905,334.767,377.630,2.347,0
9,run_09,340.758,61.336525,0,1800,340.758,334.711,345.210,1.501,0
10,run_10,340.756,61.336051,0,1800,340.756,334.670,344.997,1.528,0
11,run_11,340.788,61.341901,0,1800,340.788,334.699,390.485,2.002,0
12,run_12,340.767,61.338105,0,1800,340.767,334.723,345.035,1.536,0
13,run_13,340.895,61.361038,0,1800,340.895,334.676,367.206,2.114,0
14,run_14,341.564,61.481511,0,1800,341.564,334.757,442.845,4.273,0
15,run_15,340.939,61.368946,0,1800,340.939,334.691,393.023,2.457,0
16,run_16,340.806,61.345157,0,1800,340.806,334.738,363.597,1.759,0
17,run_17,340.852,61.353422,0,1800,340.852,334.694,369.793,2.009,0
18,run_18,340.793,61.342692,0,1800,340.793,334.682,365.151,1.666,0
19,run_19,341.769,61.518376,0,1800,341.769,334.664,441.427,4.654,0
20,run_20,341.990,61.558256,0,1800,341.990,334.830,442.527,6.148,0
21,run_21,340.902,61.362430,0,1800,340.902,334.683,367.989,2.013,0
22,run_22,340.817,61.347024,0,1800,340.817,334.680,358.782,1.700,0
23,run_23,340.815,61.346757,0,1800,340.815,334.718,378.239,2.039,0
24,run_24,340.821,61.347738,0,1800,340.821,334.701,378.344,2.112,0
25,run_25,341.019,61.383374,0,1800,341.019,334.677,377.635,2.642,0
26,run_26,341.081,61.394516,0,1800,341.081,334.692,390.999,2.857,0
27,run_27,341.884,61.539080,0,1800,341.884,334.817,391.427,4.724,0
28,run_28,340.890,61.360119,0,1800,340.890,334.679,365.253,2.035,0
29,run_29,340.966,61.373812,0,1800,340.966,334.748,394.032,2.419,0
30,run_30,340.796,61.343273,0,1800,340.796,334.741,372.600,1.821,0
31,run_31,340.711,61.327900,0,1800,340.711,334.683,346.071,1.643,0
32,run_32,340.761,61.337043,0,1800,340.761,334.684,383.670,1.985,0
33,run_33,341.077,61.393855,0,1800,341.077,334.680,388.173,3.045,0
34,run_34,341.422,61.456045,0,1800,341.422,334.674,442.090,4.259,0
35,run_35,340.767,61.338073,0,1800,340.767,334.677,383.242,1.979,0
36,run_36,340.701,61.326150,0,1800,340.701,334.694,345.317,1.645,0
37,run_37,340.771,61.338709,0,1800,340.771,334.681,360.518,1.930,0
38,run_38,340.721,61.329706,0,1800,340.721,334.676,377.712,1.889,0
39,run_39,340.724,61.330344,0,1800,340.724,334.681,376.265,1.864,0
40,run_40,340.724,61.330231,0,1800,340.724,334.682,378.143,1.932,0
41,run_41,340.793,61.342709,0,1800,340.793,334.679,368.005,2.192,0
42,run_42,340.836,61.350568,0,1800,340.836,334.731,362.445,1.984,0
43,run_43,340.802,61.344426,0,1800,340.802,334.778,367.685,2.102,0
44,run_44,340.756,61.336115,0,1800,340.756,334.953,375.516,1.969,0
45,run_45,340.727,61.330912,0,1800,340.727,334.676,362.280,1.635,0
46,run_46,341.113,61.400259,0,1800,341.113,334.703,442.072,4.066,0
47,run_47,341.293,61.432651,0,1800,341.293,334.786,377.787,2.821,0
48,run_48,340.883,61.358999,0,1800,340.883,334.730,371.865,2.317,0
49,run_49,340.780,61.340342,0,1800,340.780,334.722,379.220,2.118,0
50,run_50,340.714,61.328610,0,1800,340.715,334.781,363.883,1.609,0
51,run_51,340.738,61.332880,0,1800,340.738,334.768,364.725,1.687,0
52,run_52,340.725,61.330560,0,1800,340.725,334.715,363.401,1.621,0
53,run_53,340.754,61.335635,0,1800,340.754,334.982,359.905,1.722,0
54,run_54,340.836,61.350518,0,1800,340.836,334.666,377.449,1.935,0
55,run_55,340.944,61.369919,0,1800,340.944,334.683,379.555,2.629,0
56,run_56,340.785,61.341253,0,1800,340.785,334.740,366.256,1.863,0
57,run_57,340.815,61.346642,0,1800,340.815,334.844,379.354,2.014,0
58,run_58,341.329,61.439177,0,1800,341.329,335.070,376.812,2.907,0
59,run_59,341.026,61.384595,0,1800,341.026,334.761,443.352,3.394,0
60,run_60,341.297,61.433491,0,1800,341.297,334.682,443.404,3.731,0
