run,run_dir,n_blocks,mean_avg_ns,min_avg_ns,max_avg_ns,std_avg_ns,mismatches,elapsed_s
1,run_01,1800,341.244,334.675,388.088,2.440,0,61.423948
2,run_02,1800,341.169,334.673,393.724,2.579,0,61.410427
3,run_03,1800,340.782,334.665,345.568,1.459,0,61.340774
4,run_04,1800,340.753,334.668,345.364,1.506,0,61.335591
5,run_05,1800,341.260,334.712,390.381,3.448,0,61.426857
6,run_06,1800,340.788,334.685,361.891,1.777,0,61.341861
7,run_07,1800,341.323,334.690,367.750,3.054,0,61.438072
8,run_08,1800,340.905,334.767,377.630,2.347,0,61.362871
9,run_09,1800,340.758,334.711,345.210,1.501,0,61.336525
10,run_10,1800,340.756,334.670,344.997,1.528,0,61.336051
11,run_11,1800,340.788,334.699,390.485,2.002,0,61.341901
12,run_12,1800,340.767,334.723,345.035,1.536,0,61.338105
13,run_13,1800,340.895,334.676,367.206,2.114,0,61.361038
14,run_14,1800,341.564,334.757,442.845,4.273,0,61.481511
15,run_15,1800,340.939,334.691,393.023,2.457,0,61.368946
16,run_16,1800,340.806,334.738,363.597,1.759,0,61.345157
17,run_17,1800,340.852,334.694,369.793,2.009,0,61.353422
18,run_18,1800,340.793,334.682,365.151,1.666,0,61.342692
19,run_19,1800,341.769,334.664,441.427,4.654,0,61.518376
20,run_20,1800,341.990,334.830,442.527,6.148,0,61.558256
21,run_21,1800,340.902,334.683,367.989,2.013,0,61.362430
22,run_22,1800,340.817,334.680,358.782,1.700,0,61.347024
23,run_23,1800,340.815,334.718,378.239,2.039,0,61.346757
24,run_24,1800,340.821,334.701,378.344,2.112,0,61.347738
25,run_25,1800,341.019,334.677,377.635,2.642,0,61.383374
26,run_26,1800,341.081,334.692,390.999,2.857,0,61.394516
27,run_27,1800,341.884,334.817,391.427,4.724,0,61.539080
28,run_28,1800,340.890,334.679,365.253,2.035,0,61.360119
29,run_29,1800,340.966,334.748,394.032,2.419,0,61.373812
30,run_30,1800,340.796,334.741,372.600,1.821,0,61.343273
31,run_31,1800,340.711,334.683,346.071,1.643,0,61.327900
32,run_32,1800,340.761,334.684,383.670,1.985,0,61.337043
33,run_33,1800,341.077,334.680,388.173,3.045,0,61.393855
34,run_34,1800,341.422,334.674,442.090,4.259,0,61.456045
35,run_35,1800,340.767,334.677,383.242,1.979,0,61.338073
36,run_36,1800,340.701,334.694,345.317,1.645,0,61.326150
37,run_37,1800,340.771,334.681,360.518,1.930,0,61.338709
38,run_38,1800,340.721,334.676,377.712,1.889,0,61.329706
39,run_39,1800,340.724,334.681,376.265,1.864,0,61.330344
40,run_40,1800,340.724,334.682,378.143,1.932,0,61.330231
41,run_41,1800,340.793,334.679,368.005,2.192,0,61.342709
42,run_42,1800,340.836,334.731,362.445,1.984,0,61.350568
43,run_43,1800,340.802,334.778,367.685,2.102,0,61.344426
44,run_44,1800,340.756,334.953,375.516,1.969,0,61.336115
45,run_45,1800,340.727,334.676,362.280,1.635,0,61.330912
46,run_46,1800,341.113,334.703,442.072,4.066,0,61.400259
47,run_47,1800,341.293,334.786,377.787,2.821,0,61.432651
48,run_48,1800,340.883,334.730,371.865,2.317,0,61.358999
49,run_49,1800,340.780,334.722,379.220,2.118,0,61.340342
50,run_50,1800,340.715,334.781,363.883,1.609,0,61.328610
51,run_51,1800,340.738,334.768,364.725,1.687,0,61.332880
52,run_52,1800,340.725,334.715,363.401,1.621,0,61.330560
53,run_53,1800,340.754,334.982,359.905,1.722,0,61.335635
54,run_54,1800,340.836,334.666,377.449,1.935,0,61.350518
55,run_55,1800,340.944,334.683,379.555,2.629,0,61.369919
56,run_56,1800,340.785,334.740,366.256,1.863,0,61.341253
57,run_57,1800,340.815,334.844,379.354,2.014,0,61.346642
58,run_58,1800,341.329,335.070,376.812,2.907,0,61.439177
59,run_59,1800,341.026,334.761,443.352,3.394,0,61.384595
60,run_60,1800,341.297,334.682,443.404,3.731,0,61.433491
