run,run_dir,avg_ns,elapsed_s,mismatches,trace_blocks,trace_mean_ns,trace_min_ns,trace_max_ns,trace_std_ns,trace_mismatches
1,run_01,335.352,3.353517,0,100,335.352,334.635,336.824,0.533,0
2,run_02,335.297,3.352975,0,100,335.297,334.630,336.787,0.588,0
3,run_03,335.303,3.353028,0,100,335.303,334.626,337.070,0.608,0
4,run_04,335.195,3.351953,0,100,335.195,334.626,336.819,0.599,0
5,run_05,335.313,3.353127,0,100,335.313,334.627,338.064,0.677,0
6,run_06,335.247,3.352472,0,100,335.247,334.623,337.380,0.613,0
7,run_07,335.334,3.353342,0,100,335.334,334.630,336.800,0.591,0
8,run_08,335.199,3.351986,0,100,335.199,334.619,336.776,0.512,0
9,run_09,335.312,3.353124,0,100,335.312,334.628,336.972,0.587,0
10,run_10,335.271,3.352706,0,100,335.271,334.632,336.903,0.612,0
11,run_11,335.199,3.351994,0,100,335.199,334.631,337.405,0.608,0
12,run_12,335.243,3.352426,0,100,335.243,334.630,336.899,0.570,0
13,run_13,335.332,3.353320,0,100,335.332,334.636,336.915,0.621,0
14,run_14,335.208,3.352085,0,100,335.208,334.626,337.260,0.626,0
15,run_15,335.378,3.353785,0,100,335.378,334.628,337.000,0.697,0
16,run_16,335.308,3.353078,0,100,335.308,334.635,336.643,0.621,0
17,run_17,335.168,3.351678,0,100,335.168,334.627,336.718,0.538,0
18,run_18,335.331,3.353309,0,100,335.331,334.627,337.087,0.588,0
19,run_19,335.257,3.352570,0,100,335.257,334.633,336.885,0.575,0
20,run_20,335.266,3.352659,0,100,335.266,334.629,336.823,0.573,0
