run,run_dir,n_blocks,mean_avg_ns,min_avg_ns,max_avg_ns,std_avg_ns,mismatches,elapsed_s
1,run_01,1000,335.246,334.625,337.017,0.588,0,33.524628
2,run_02,1000,335.268,334.618,337.721,0.600,0,33.526838
3,run_03,1000,335.288,334.621,337.137,0.591,0,33.528808
4,run_04,1000,335.227,334.626,337.929,0.586,0,33.522702
5,run_05,1000,335.273,334.627,337.744,0.603,0,33.527343
6,run_06,1000,335.247,334.626,338.066,0.603,0,33.524670
7,run_07,1000,335.240,334.622,337.306,0.585,0,33.524010
8,run_08,1000,335.237,334.613,336.975,0.561,0,33.523673
9,run_09,1000,335.257,334.627,337.090,0.582,0,33.525686
10,run_10,1000,335.258,334.626,337.140,0.579,0,33.525815
11,run_11,1000,335.245,334.627,337.407,0.572,0,33.524484
12,run_12,1000,335.276,334.627,337.586,0.593,0,33.527592
13,run_13,1000,335.256,334.626,337.051,0.600,0,33.525569
14,run_14,1000,335.259,334.627,337.495,0.593,0,33.525885
15,run_15,1000,335.246,334.620,337.384,0.585,0,33.524628
16,run_16,1000,335.234,334.621,337.231,0.589,0,33.523391
17,run_17,1000,335.244,334.625,336.971,0.570,0,33.524359
18,run_18,1000,335.279,334.622,337.462,0.589,0,33.527923
19,run_19,1000,335.296,334.625,337.187,0.591,0,33.529555
20,run_20,1000,335.296,334.624,337.202,0.604,0,33.529632
