campaign,run,time_h,avg_ns,elapsed_s,mismatches
E_scale_iters_001_1M,1,0.000093195,335.503,0.335503,0
E_scale_iters_001_1M,2,0.000186488,335.855,0.335855,0
E_scale_iters_001_1M,3,0.000279793,335.896,0.335896,0
E_scale_iters_001_1M,4,0.000373019,335.616,0.335616,0
E_scale_iters_001_1M,5,0.000466193,335.425,0.335425,0
E_scale_iters_001_1M,6,0.000559378,335.465,0.335465,0
E_scale_iters_001_1M,7,0.000652662,335.825,0.335825,0
E_scale_iters_001_1M,8,0.000745851,335.479,0.335479,0
E_scale_iters_001_1M,9,0.000839138,335.835,0.335835,0
E_scale_iters_001_1M,10,0.000932377,335.660,0.335660,0
E_scale_iters_001_1M,11,0.001025534,335.366,0.335366,0
E_scale_iters_001_1M,12,0.001118787,335.710,0.335710,0
E_scale_iters_001_1M,13,0.001212101,335.928,0.335928,0
E_scale_iters_001_1M,14,0.001305362,335.741,0.335741,0
E_scale_iters_001_1M,15,0.001398583,335.595,0.335595,0
E_scale_iters_001_1M,16,0.001491890,335.907,0.335907,0
E_scale_iters_001_1M,17,0.001585073,335.458,0.335458,0
E_scale_iters_001_1M,18,0.001678344,335.775,0.335775,0
E_scale_iters_001_1M,19,0.001771524,335.448,0.335448,0
E_scale_iters_001_1M,20,0.001864721,335.512,0.335512,0
E_scale_iters_002_10M,1,0.000931533,335.352,3.353517,0
E_scale_iters_002_10M,2,0.001862914,335.297,3.352975,0
E_scale_iters_002_10M,3,0.002794311,335.303,3.353028,0
E_scale_iters_002_10M,4,0.003725409,335.195,3.351953,0
E_scale_iters_002_10M,5,0.004656833,335.313,3.353127,0
E_scale_iters_002_10M,6,0.005588075,335.247,3.352472,0
E_scale_iters_002_10M,7,0.006519559,335.334,3.353342,0
E_scale_iters_002_10M,8,0.007450666,335.199,3.351986,0
E_scale_iters_002_10M,9,0.008382090,335.312,3.353124,0
E_scale_iters_002_10M,10,0.009313397,335.271,3.352706,0
E_scale_iters_002_10M,11,0.010244506,335.199,3.351994,0
E_scale_iters_002_10M,12,0.011175736,335.243,3.352426,0
E_scale_iters_002_10M,13,0.012107214,335.332,3.353320,0
E_scale_iters_002_10M,14,0.013038348,335.208,3.352085,0
E_scale_iters_002_10M,15,0.013969955,335.378,3.353785,0
E_scale_iters_002_10M,16,0.014901366,335.308,3.353078,0
E_scale_iters_002_10M,17,0.015832387,335.168,3.351678,0
E_scale_iters_002_10M,18,0.016763862,335.331,3.353309,0
E_scale_iters_002_10M,19,0.017695132,335.257,3.352570,0
E_scale_iters_002_10M,20,0.018626426,335.266,3.352659,0
E_scale_iters_003_100M,1,0.009312397,335.246,33.524628,0
E_scale_iters_003_100M,2,0.018625407,335.268,33.526838,0
E_scale_iters_003_100M,3,0.027938965,335.288,33.528808,0
E_scale_iters_003_100M,4,0.037250827,335.227,33.522702,0
E_scale_iters_003_100M,5,0.046563977,335.273,33.527343,0
E_scale_iters_003_100M,6,0.055876386,335.247,33.524670,0
E_scale_iters_003_100M,7,0.065188611,335.240,33.524010,0
E_scale_iters_003_100M,8,0.074500742,335.237,33.523673,0
E_scale_iters_003_100M,9,0.083813433,335.257,33.525686,0
E_scale_iters_003_100M,10,0.093126159,335.258,33.525815,0
E_scale_iters_003_100M,11,0.102438516,335.245,33.524484,0
E_scale_iters_003_100M,12,0.111751735,335.276,33.527592,0
E_scale_iters_003_100M,13,0.121064393,335.256,33.525569,0
E_scale_iters_003_100M,14,0.130377139,335.259,33.525885,0
E_scale_iters_003_100M,15,0.139689536,335.246,33.524628,0
E_scale_iters_003_100M,16,0.149001589,335.234,33.523391,0
E_scale_iters_003_100M,17,0.158313911,335.244,33.524359,0
E_scale_iters_003_100M,18,0.167627223,335.279,33.527923,0
E_scale_iters_003_100M,19,0.176940988,335.296,33.529555,0
E_scale_iters_003_100M,20,0.186254775,335.296,33.529632,0
E_scale_iters_004_180M,1,0.016763049,335.261,60.346975,0
E_scale_iters_004_180M,2,0.033526979,335.279,60.350148,0
E_scale_iters_004_180M,3,0.050290725,335.275,60.349488,0
E_scale_iters_004_180M,4,0.067053341,335.252,60.345416,0
E_scale_iters_004_180M,5,0.083816605,335.265,60.347753,0
E_scale_iters_004_180M,6,0.100578423,335.236,60.342542,0
E_scale_iters_004_180M,7,0.117341239,335.256,60.346138,0
E_scale_iters_004_180M,8,0.134104849,335.272,60.348998,0
E_scale_iters_004_180M,9,0.150868044,335.264,60.347500,0
E_scale_iters_004_180M,10,0.167631294,335.265,60.347702,0
E_scale_iters_004_180M,11,0.184395299,335.280,60.350419,0
E_scale_iters_004_180M,12,0.201157814,335.250,60.345053,0
E_scale_iters_004_180M,13,0.217919932,335.242,60.343625,0
E_scale_iters_004_180M,14,0.234681670,335.235,60.342257,0
E_scale_iters_004_180M,15,0.251444883,335.264,60.347566,0
E_scale_iters_004_180M,16,0.268206548,335.233,60.341995,0
E_scale_iters_004_180M,17,0.284970250,335.274,60.349325,0
E_scale_iters_004_180M,18,0.301732753,335.250,60.345012,0
E_scale_iters_004_180M,19,0.318496022,335.265,60.347768,0
E_scale_iters_004_180M,20,0.335260085,335.281,60.350629,0
