campaign,run,time_h,avg_ns,elapsed_s,mismatches
A_idle_1h,1,0.016763333,335.267,60.347997,0
A_idle_1h,2,0.033526216,335.258,60.346380,0
A_idle_1h,3,0.050289925,335.274,60.349351,0
A_idle_1h,4,0.067052674,335.255,60.345898,0
A_idle_1h,5,0.083816547,335.277,60.349943,0
A_idle_1h,6,0.100580808,335.285,60.351339,0
A_idle_1h,7,0.117343418,335.252,60.345396,0
A_idle_1h,8,0.134107448,335.281,60.350508,0
A_idle_1h,9,0.150869715,335.245,60.344163,0
A_idle_1h,10,0.167633908,335.284,60.351094,0
A_idle_1h,11,0.184396922,335.260,60.346849,0
A_idle_1h,12,0.201160626,335.274,60.349336,0
A_idle_1h,13,0.217924372,335.275,60.349484,0
A_idle_1h,14,0.234686187,335.236,60.342535,0
A_idle_1h,15,0.251448246,335.241,60.343411,0
A_idle_1h,16,0.268212466,335.284,60.351192,0
A_idle_1h,17,0.284975226,335.255,60.345937,0
A_idle_1h,18,0.301738427,335.264,60.347523,0
A_idle_1h,19,0.318502443,335.280,60.350457,0
A_idle_1h,20,0.335264686,335.245,60.344077,0
A_idle_1h,21,0.352027605,335.258,60.346507,0
A_idle_1h,22,0.368790788,335.264,60.347457,0
A_idle_1h,23,0.385553058,335.245,60.344173,0
A_idle_1h,24,0.402316849,335.276,60.349647,0
A_idle_1h,25,0.419081103,335.285,60.351317,0
A_idle_1h,26,0.435844873,335.275,60.349570,0
A_idle_1h,27,0.452608216,335.267,60.348037,0
A_idle_1h,28,0.469372544,335.287,60.351579,0
A_idle_1h,29,0.486136029,335.270,60.348546,0
A_idle_1h,30,0.502900061,335.281,60.350517,0
A_idle_1h,31,0.519662870,335.256,60.346113,0
A_idle_1h,32,0.536425858,335.260,60.346754,0
A_idle_1h,33,0.553189518,335.273,60.349176,0
A_idle_1h,34,0.569952689,335.263,60.347418,0
A_idle_1h,35,0.586716379,335.274,60.349284,0
A_idle_1h,36,0.603479141,335.255,60.345940,0
A_idle_1h,37,0.620242818,335.274,60.349238,0
A_idle_1h,38,0.637005555,335.255,60.345853,0
A_idle_1h,39,0.653768678,335.262,60.347246,0
A_idle_1h,40,0.670532292,335.272,60.349008,0
A_idle_1h,41,0.687294888,335.252,60.345346,0
A_idle_1h,42,0.704057959,335.261,60.347057,0
A_idle_1h,43,0.720820034,335.242,60.343471,0
A_idle_1h,44,0.737583297,335.265,60.347746,0
A_idle_1h,45,0.754345643,335.247,60.344446,0
A_idle_1h,46,0.771108670,335.261,60.346896,0
A_idle_1h,47,0.787871134,335.249,60.344870,0
A_idle_1h,48,0.804634491,335.267,60.348086,0
A_idle_1h,49,0.821397562,335.261,60.347053,0
A_idle_1h,50,0.838160308,335.255,60.345886,0
A_idle_1h,51,0.854922587,335.246,60.344205,0
A_idle_1h,52,0.871686163,335.272,60.348874,0
A_idle_1h,53,0.888449357,335.264,60.347497,0
A_idle_1h,54,0.905212457,335.262,60.347162,0
A_idle_1h,55,0.921975300,335.257,60.346233,0
A_idle_1h,56,0.938738907,335.272,60.348985,0
A_idle_1h,57,0.955502940,335.281,60.350520,0
A_idle_1h,58,0.972265970,335.261,60.346908,0
A_idle_1h,59,0.989028820,335.257,60.346260,0
A_idle_1h,60,1.005791626,335.256,60.346102,0
C_cpu_1core_1h,1,0.016761025,335.220,60.339690,0
C_cpu_1core_1h,2,0.033522071,335.221,60.339767,0
C_cpu_1core_1h,3,0.050283006,335.219,60.339364,0
C_cpu_1core_1h,4,0.067043712,335.214,60.338543,0
C_cpu_1core_1h,5,0.083804534,335.216,60.338957,0
C_cpu_1core_1h,6,0.100566487,335.239,60.343030,0
C_cpu_1core_1h,7,0.117327568,335.222,60.339893,0
